bs,gateway_id,release_receptions,calibration_receptions,full_identity_candidates,identified_on_calibration_only,outside_calibration_mismatches,catalogue_present,catalogue_latitude,catalogue_longitude,catalogue_x_m,catalogue_y_m,coordinate_crs,catalogue_rounding_m,in_metadata33,in_common27,in_transfer29,in_historical_recovered29,has_rssfit_coordinate,rssfit_x_m,rssfit_y_m,primary_selection_count
1,FF010714,11050,2781,1,True,0.0,True,51.188213,4.450321,601353.8,5671754.9,EPSG:32631,0.1,True,True,True,True,True,603745.6759608666,5678907.772517809,449
2,FF01072B,25615,4657,1,True,0.0,True,51.195278,4.426771,599692.9,5672508.3,EPSG:32631,0.1,True,True,True,True,True,602731.826828965,5669928.016131822,741
3,FF010877,3522,1065,1,True,0.0,True,51.17691,4.441903,600790.2,5670486.4,EPSG:32631,0.1,True,False,True,False,True,593373.3145495419,5678940.827406942,146
4,080E0149,11879,3191,1,True,0.0,True,51.250458,4.419384,599058.3,5678634.4,EPSG:32631,0.1,True,True,True,True,True,603099.5099895446,5679034.892108071,476
5,FF010560,14596,3548,1,True,0.0,True,51.245152,4.385107,596677.3,5677998.7,EPSG:32631,0.1,True,True,True,True,True,603226.0940405161,5678980.620284165,558
6,FF010721,6259,1725,1,True,0.0,True,51.263577,4.388527,596877.3,5680052.1,EPSG:32631,0.1,True,True,True,True,True,603266.9968947538,5679033.634357189,281
7,080605EE,7340,1597,1,True,0.0,True,51.218719,4.459902,601956.0,5675160.4,EPSG:32631,0.1,True,True,True,True,True,603828.8447644523,5676271.235508013,226
9,FF01085B,23088,5024,1,True,0.0,True,51.221184,4.423655,599419.4,5675384.8,EPSG:32631,0.1,True,True,True,True,True,603286.0940405161,5677214.985928598,718
10,080E00B9,36185,4027,1,True,0.0,True,51.195141,4.419717,599200.3,5672483.5,EPSG:32631,0.1,True,True,True,True,True,598816.681104775,5673099.379605399,621
11,FF01052A,13753,3572,1,True,0.0,True,51.241821,4.449746,601196.1,5677715.3,EPSG:32631,0.1,True,True,True,True,True,603550.8808416433,5678899.0944956355,531
12,08060622,9327,1631,1,True,0.0,True,51.217793,4.426748,599642.7,5675011.9,EPSG:32631,0.1,True,True,True,True,True,600786.0940405161,5678878.266369523,251
14,FF0107C9,32352,7013,1,True,0.0,True,51.219257,4.413227,598695.3,5675156.5,EPSG:32631,0.1,True,True,True,True,True,602749.5608149501,5674731.206050949,1022
15,FF01099B,3436,607,1,True,0.0,True,51.206875,4.333922,593182.1,5673676.1,EPSG:32631,0.1,True,True,True,True,True,595554.4469562438,5670373.710097808,110
16,FF010581,1307,361,1,True,0.0,True,51.283428,4.384657,596565.6,5682254.4,EPSG:32631,0.1,True,False,True,False,True,602420.940103608,5672219.874774794,58
17,FF010739,7666,1505,1,True,0.0,True,51.203987,4.440966,600665.7,5673496.1,EPSG:32631,0.1,True,True,True,True,True,603550.8808416433,5677239.854175314,215
18,FF0178DF,17786,3219,1,True,0.0,True,51.2019,4.395436,597489.6,5673202.6,EPSG:32631,0.1,True,True,True,True,True,597113.5249191204,5671098.29049555,460
19,FF010667,7537,1708,1,True,0.0,True,51.218185,4.370775,595733.0,5674981.1,EPSG:32631,0.1,True,True,True,True,True,591059.2238088003,5677279.247985415,262
20,FF010595,13939,3120,1,True,0.0,True,51.223225,4.407838,598310.5,5675590.5,EPSG:32631,0.1,True,True,True,True,True,601201.242654284,5672829.070082498,446
22,FF010628,6280,1749,1,True,0.0,True,51.264114,4.406816,598152.1,5680136.1,EPSG:32631,0.1,True,False,True,False,True,603207.213654103,5679033.634357189,283
23,FF0105CB,1653,336,1,True,0.0,True,51.194866,4.33333,593165.0,5672339.9,EPSG:32631,0.1,True,True,True,True,True,598164.7223250023,5670783.884139135,57
