rank0,csv_row_index0,working_index0
0,43269,18483
1,124775,52974
2,4275,1870
3,81983,34791
4,96209,40698
5,103119,43624
6,21313,9143
7,29165,12463
8,77435,32813
9,115637,49029
10,107890,45678
11,75362,31967
12,74660,31666
13,128093,54390
14,33261,14264
15,102679,43439
16,106503,45072
17,46672,19891
18,126762,53829
19,42832,18291
20,70208,29815
21,128603,54612
22,71695,30440
23,114720,48609
24,67715,28758
25,21797,9341
26,114589,48550
27,94647,40062
28,106356,45001
29,25237,10798
30,92093,38996
31,59903,25429
32,121252,51408
33,124488,52847
34,9599,4153
35,100417,42505
36,57931,24600
37,51176,21802
38,81158,34430
39,96739,40941
40,1694,729
41,94179,39852
42,129750,55075
43,119207,50536
44,81034,34388
45,13106,5653
46,126628,53761
47,18326,7873
48,17357,7454
49,76780,32540
50,38052,16291
51,71882,30518
52,30452,13027
53,56145,23866
54,120675,51178
55,40622,17341
56,23070,9878
57,29218,12488
58,74473,31599
59,49329,21018
60,111183,47092
61,53409,22710
62,33513,14374
63,62834,26676
64,53584,22787
65,14284,6157
66,21256,9120
67,98927,41873
68,84405,35820
69,24832,10633
70,83521,35454
71,119484,50649
72,40113,17140
73,17997,7731
74,128626,54617
75,127273,54038
76,51065,21755
77,106274,44968
78,110348,46721
79,83569,35476
80,6629,2924
81,34872,14940
82,126168,53574
83,49985,21322
84,54140,23017
85,13850,5979
86,24912,10678
87,10776,4668
88,121573,51558
89,55230,23479
90,65464,27801
91,114088,48344
92,8549,3696
93,93115,39413
94,127166,54001
95,81885,34750
96,40915,17473
97,53421,22717
98,109778,46481
99,123988,52629
100,114305,48433
101,37145,15895
102,70283,29844
103,43499,18586
104,78782,33387
105,73823,31322
106,116790,49499
107,36300,15526
108,121313,51435
109,126754,53824
110,122018,51748
111,12360,5325
112,86319,36630
113,106802,45205
114,114120,48358
115,58162,24696
116,5600,2435
117,27799,11880
118,44378,18948
119,1974,849
120,121463,51504
121,13654,5892
122,71510,30362
123,103812,43909
124,112299,47594
125,32279,13846
126,23605,10113
127,98930,41874
128,22687,9705
129,115713,49064
130,48876,20831
131,5467,2377
132,120956,51292
133,92098,39000
134,107070,45321
135,40411,17253
136,92717,39254
137,42246,18043
138,116971,49578
139,22897,9798
140,50612,21571
141,70773,30051
142,6498,2874
143,96323,40747
144,5429,2365
145,101724,43055
146,117993,50011
147,89054,37720
148,66018,28027
149,4954,2172
150,80864,34311
151,49043,20903
152,89378,37834
153,100165,42395
154,27319,11678
155,99789,42225
156,101645,43015
157,88564,37497
158,115092,48776
159,36691,15693
160,127329,54062
161,24409,10449
162,111644,47277
163,21840,9362
164,84113,35696
165,119729,50768
166,122921,52130
167,12613,5443
168,64906,27557
169,18236,7839
170,25756,11032
171,116917,49556
172,23390,10013
173,4036,1774
174,60680,25756
175,112919,47877
176,82295,34925
177,32657,14001
178,65739,27910
179,21526,9226
180,6426,2835
181,100350,42476
182,99803,42229
183,17108,7365
184,63180,26818
185,14526,6255
186,98094,41526
187,66602,28284
188,9787,4234
189,90748,38400
190,120896,51273
191,100563,42580
192,106570,45103
193,121046,51324
194,95761,40510
195,109902,46531
196,14548,6264
197,42676,18230
198,120078,50910
199,10891,4720
200,128390,54510
201,121628,51574
202,56923,24196
203,58167,24697
204,24612,10538
205,64064,27192
206,65324,27738
207,45700,19495
208,118042,50040
209,127670,54213
210,63087,26777
211,61149,25956
212,43907,18738
213,8672,3741
214,9886,4272
215,17440,7497
216,127397,54094
217,23345,9996
218,124186,52723
219,91762,38858
220,40103,17135
221,31714,13570
222,2374,1026
223,39788,17004
224,79354,33632
225,90912,38468
226,128408,54518
227,109054,46184
228,37392,16006
229,26611,11392
230,100710,42649
231,84170,35717
232,83424,35417
233,166,77
234,26047,11152
235,103101,43615
236,37412,16014
237,66147,28077
238,117600,49844
239,23511,10064
240,69501,29506
241,87797,37194
242,39192,16760
243,65607,27854
244,39152,16745
245,31098,13306
246,3932,1724
247,15244,6570
248,27144,11612
249,15918,6853
250,122700,52031
251,40683,17370
252,62676,26613
253,104470,44195
254,94700,40082
255,61110,25940
256,19111,8187
257,4570,2002
258,8130,3528
259,101604,42993
260,4775,2093
261,33470,14359
262,30007,12840
263,48584,20716
264,63657,27018
265,7497,3288
266,4733,2075
267,21242,9116
268,67503,28666
269,35777,15319
270,65669,27879
271,40308,17209
272,53180,22609
273,29705,12704
274,8816,3806
275,54046,22985
276,104277,44109
277,111969,47433
278,6301,2773
279,94769,40112
280,10993,4769
281,127443,54112
282,95570,40445
283,95926,40582
284,54887,23339
285,66172,28088
286,95781,40519
287,74514,31614
288,32536,13952
289,117793,49930
290,11874,5126
291,59930,25443
292,40472,17277
293,22137,9479
294,11998,5183
295,63029,26761
296,64309,27291
297,106424,45036
298,56509,24026
299,10550,4564
300,58903,25004
301,89739,37976
302,25388,10863
303,77246,32728
304,112608,47740
305,48323,20600
306,50937,21704
307,122195,51823
308,4890,2145
309,34498,14772
310,85436,36247
311,97568,41293
312,98791,41821
313,83098,35259
314,3255,1425
315,117424,49767
316,85113,36111
317,18340,7882
318,9431,4080
319,29291,12519
320,125259,53181
321,57437,24394
322,943,394
323,23965,10272
324,97970,41468
325,117177,49668
326,124305,52774
327,126184,53580
328,23516,10067
329,76732,32519
330,126965,53920
331,96393,40775
332,45353,19365
333,47984,20436
334,29939,12811
335,56968,24216
336,6045,2645
337,91496,38742
338,64228,27263
339,84966,36053
340,7764,3389
341,75039,31825
342,130032,55186
343,30723,13142
344,65461,27799
345,119761,50782
346,79006,33485
347,14529,6258
348,33499,14371
349,33818,14495
350,83249,35338
351,33105,14200
352,13193,5690
353,63940,27145
354,125890,53446
355,44110,18831
356,118533,50247
357,6394,2822
358,27636,11807
359,92037,38969
360,85849,36439
361,83989,35656
362,110203,46657
363,108858,46093
364,125896,53449
365,45832,19558
366,86752,36801
367,83282,35356
368,9912,4283
369,96661,40901
370,97552,41283
371,126004,53491
372,24017,10292
373,8893,3846
374,105679,44718
375,2762,1192
376,47941,20419
377,112332,47608
378,45073,19245
379,6821,3005
380,29715,12709
381,116689,49458
382,84396,35816
383,25442,10885
384,24754,10601
385,102462,43352
386,15442,6647
387,100074,42344
388,68770,29220
389,117109,49637
390,116566,49404
391,23824,10214
392,16216,6974
393,4429,1944
394,57852,24565
395,70777,30053
396,29240,12496
397,10560,4572
398,52919,22510
399,75035,31822
400,27401,11712
401,123001,52165
402,48357,20616
403,47549,20268
404,43621,18624
405,49345,21027
406,110298,46697
407,88783,37596
408,90251,38187
409,65410,27771
410,68714,29194
411,32420,13906
412,95920,40578
413,52931,22516
414,6111,2679
415,98543,41719
416,71419,30328
417,59477,25249
418,49752,21208
419,37047,15848
420,52345,22288
421,3199,1399
422,96463,40813
423,18046,7756
424,26318,11256
425,727,308
426,90413,38252
427,30865,13207
428,56683,24098
429,95977,40603
430,49412,21059
431,35888,15367
432,25932,11108
433,88633,37526
434,22983,9839
435,28852,12324
436,47921,20412
437,120131,50935
438,77810,32983
439,7532,3306
440,91220,38609
441,119391,50609
442,49767,21214
443,41678,17796
444,40473,17278
445,73683,31269
446,46185,19695
447,116949,49568
448,28920,12353
449,66488,28226
450,97042,41075
451,112716,47785
452,56135,23863
453,41422,17685
454,9231,3991
455,98567,41730
456,80029,33918
457,39516,16891
458,15684,6751
459,50145,21383
460,4468,1964
461,92779,39277
462,89060,37723
463,21093,9048
464,56695,24104
465,128921,54728
466,77957,33054
467,99749,42206
468,36645,15679
469,53575,22784
470,4714,2062
471,74732,31706
472,47348,20182
473,120403,51053
474,53551,22778
475,103957,43967
476,18635,7999
477,74251,31506
478,120909,51277
479,106442,45042
480,121909,51690
481,87173,36952
