rank0,csv_row_index0,working_index0
0,29771,12736
1,1957,838
2,59710,25345
3,82299,34928
4,25989,11131
5,38779,16583
6,90373,38232
7,67990,28882
8,101143,42815
9,10859,4706
10,60681,25757
11,129960,55158
12,76202,32324
13,104539,44223
14,119539,50676
15,46030,19637
16,80396,34080
17,115239,48843
18,13446,5796
19,34506,14778
20,84074,35685
21,44217,18873
22,28770,12291
23,84802,35986
24,4215,1840
25,59319,25180
26,94890,40158
27,115672,49045
28,28267,12093
29,109554,46389
30,28995,12388
31,73366,31134
32,118042,50040
33,104084,44020
34,73560,31210
35,86134,36554
36,123810,52549
37,106610,45116
38,109090,46200
39,120029,50892
40,111245,47118
41,38027,16279
42,106818,45212
43,92558,39179
44,59475,25248
45,28661,12246
46,109767,46478
47,123988,52629
48,1331,570
49,68845,29245
50,28538,12200
51,12707,5485
52,21909,9383
53,37141,15892
54,80419,34093
55,8752,3778
56,9069,3920
57,50617,21574
58,33664,14446
59,100685,42638
60,27302,11670
61,72314,30696
62,18340,7882
63,70486,29933
64,102848,43512
65,113930,48276
66,75328,31951
67,68198,28966
68,88408,37438
69,30860,13203
70,130155,55239
71,113614,48149
72,88229,37365
73,70358,29876
74,26493,11330
75,29319,12530
76,69762,29618
77,61010,25891
78,55679,23673
79,120452,51079
80,23159,9915
81,12933,5574
82,118367,50188
83,125834,53421
84,120056,50902
85,112442,47668
86,71951,30552
87,56261,23916
88,67213,28541
89,78171,33150
90,56973,24217
91,77416,32803
92,38338,16415
93,12626,5452
94,72802,30908
95,1032,426
96,59259,25156
97,68111,28932
98,24179,10363
99,40982,17507
100,97913,41439
101,120159,50949
102,3199,1399
103,4840,2117
104,55402,23552
105,102923,43546
106,79568,33727
107,64417,27347
108,89096,37732
109,72816,30915
110,63686,27031
111,113322,48031
112,88657,37539
113,42613,18202
114,83989,35656
115,44614,19058
116,15453,6653
117,2374,1026
118,83737,35543
119,28890,12339
120,44815,19146
121,122551,51963
122,60193,25554
123,88208,37356
124,58523,24852
125,27874,11913
126,6720,2959
127,87289,37001
128,69394,29458
129,9391,4059
130,72954,30967
131,91568,38768
132,117696,49886
133,106168,44926
134,124379,52800
135,25896,11091
136,61149,25956
137,46156,19689
138,35161,15061
139,103215,43664
140,53439,22727
141,95769,40513
142,4139,1813
143,93138,39419
144,9697,4199
145,35315,15128
146,126015,53495
147,58547,24862
148,90517,38302
149,11283,4889
150,99286,42011
151,80825,34292
152,119316,50577
153,28431,12161
154,15289,6588
155,124288,52766
156,49369,21038
157,69966,29707
158,96319,40745
159,97625,41316
160,125439,53265
161,26322,11257
162,6278,2761
163,7542,3311
164,103101,43615
165,110406,46748
166,76647,32492
167,18225,7835
168,10974,4758
169,39446,16858
170,67506,28668
171,126051,53510
172,14677,6324
173,68296,29004
174,45377,19373
175,95570,40445
176,102247,43264
177,128126,54405
178,11478,4969
179,31942,13680
180,97497,41260
181,113839,48238
182,113513,48105
183,122031,51751
184,9646,4175
185,82267,34920
186,54709,23260
187,76800,32546
188,42861,18301
189,87235,36979
190,52270,22254
191,69016,29319
192,104271,44106
193,625,261
194,32026,13719
195,2915,1266
196,114164,48376
197,103438,43747
198,37456,16033
199,106391,45024
200,57557,24456
201,52135,22202
202,98968,41893
203,125196,53150
204,88507,37474
205,25726,11022
206,36908,15790
207,105630,44695
208,50706,21609
209,59466,25246
210,83631,35499
211,82022,34810
212,104445,44184
213,9033,3906
214,22647,9689
215,115128,48793
216,99333,42034
217,115206,48828
218,81079,34405
219,90283,38198
220,14313,6172
221,40738,17398
222,114558,48532
223,123390,52353
224,16087,6924
225,64424,27350
226,155,71
227,124028,52645
228,94476,39990
229,85803,36417
230,66305,28146
231,18790,8061
232,64776,27496
233,53853,22902
234,64798,27504
235,58564,24872
236,84446,35838
237,29709,12707
238,10180,4398
239,103162,43638
240,116047,49181
241,65997,28017
242,27151,11617
243,125600,53331
244,53004,22547
245,8875,3836
246,373,150
247,65210,27698
248,48564,20704
249,30257,12949
250,113450,48084
251,114773,48628
252,92716,39253
253,5309,2314
254,19674,8436
255,85794,36413
256,72776,30894
257,29218,12488
258,63188,26822
259,82363,34955
260,56737,24121
261,35373,15153
262,579,243
263,38822,16597
264,89344,37823
265,72476,30765
266,79999,33908
267,16109,6933
268,116607,49416
269,9674,4187
270,1290,545
271,82582,35049
272,82452,34991
273,25854,11070
274,8617,3723
275,83645,35506
276,31818,13619
277,85879,36454
278,115529,48977
279,46975,20031
280,43330,18502
281,31737,13579
282,96971,41047
283,26611,11392
284,113711,48194
285,96079,40646
286,57707,24506
287,6431,2839
288,112616,47744
289,74823,31743
290,109360,46314
291,66147,28077
