rank0,csv_row_index0
0,90461
1,10629
2,54267
3,98930
4,70578
5,81890
6,128737
7,82984
8,107039
9,116341
10,129017
11,47408
12,99463
13,33156
14,110535
15,115185
16,61848
17,96631
18,56746
19,35003
20,44598
21,90807
22,24887
23,17842
24,128273
25,42556
26,92312
27,86919
28,83521
29,44135
30,110918
31,55425
32,41473
33,53732
34,48128
35,88646
36,72261
37,14895
38,60882
39,64856
40,115268
41,49920
42,120771
43,51902
44,2897
45,112219
46,122751
47,16367
48,64561
49,2057
50,122728
51,38835
52,39972
53,80601
54,22237
55,37024
56,115465
57,67833
58,60923
59,112460
60,96216
61,74732
62,78339
63,69237
64,51973
65,31559
66,118006
67,55525
68,5174
69,8420
70,63520
71,28283
72,63272
73,53399
74,35592
75,253
76,65551
77,99926
78,12905
79,16685
80,100423
81,129562
82,1457
83,93516
84,2797
85,57751
86,79575
87,96394
88,126154
89,17723
90,112342
91,24864
92,129365
93,16416
94,113168
95,28530
96,23906
97,128753
98,2927
99,118675
100,40905
101,69381
102,58030
103,70101
104,123636
105,60635
106,42463
107,2823
108,62634
109,69459
110,1663
111,51095
112,99718
113,10247
114,74303
115,77419
116,41392
117,107701
118,97449
119,85258
120,3086
121,29291
122,74730
123,83748
124,20430
125,37549
126,71201
127,44983
128,15785
129,121098
130,16648
131,51259
132,116940
133,18408
134,70240
135,48048
136,7601
137,55511
138,3392
139,11433
140,26475
141,22833
142,118604
143,20187
144,24646
145,36432
146,77989
147,43037
148,19657
149,106699
150,23509
151,44164
152,105205
153,96195
154,75168
155,114878
156,121305
157,129377
158,97210
159,39077
160,176
161,84362
162,23927
163,107878
164,117087
165,86844
166,62587
167,54411
168,1274
169,67217
170,91910
171,69510
172,30464
173,94604
174,102283
175,33184
176,9151
177,18506
178,51332
179,2195
180,67458
181,112903
182,46850
183,61479
184,17792
185,94769
186,97953
187,73228
188,205
189,77726
190,39569
191,16377
192,41856
193,6498
194,7411
195,80127
196,10079
197,51858
198,51580
