rank0,csv_row_index0,working_index0
0,50998,21726
1,77790,32976
2,86313,36626
3,42378,18102
4,104375,44150
5,89515,37882
6,23604,10112
7,106539,45090
8,76343,32370
9,12524,5406
10,57044,24242
11,82148,34864
12,119939,50857
13,84994,36069
14,125605,53334
15,42287,18060
16,47289,20162
17,44636,19067
18,94767,40111
19,44269,18897
20,28668,12249
21,27879,11915
22,44244,18887
23,113558,48128
24,40713,17387
25,113885,48258
26,78108,33123
27,68315,29012
28,98329,41627
29,69610,29553
30,15931,6861
31,84335,35786
32,94977,40201
33,48900,20845
34,154,70
35,36291,15522
36,121464,51505
37,48644,20741
38,82444,34988
39,84919,36034
40,123764,52525
41,16818,7237
42,121996,51738
43,121350,51453
44,80417,34091
45,98617,41753
46,55089,23424
47,48822,20805
48,59613,25300
49,72360,30717
50,61696,26202
51,79338,33626
52,57514,24430
53,86605,36736
54,83946,35639
55,108689,46025
56,5575,2420
57,31445,13455
58,36891,15783
59,125033,53085
60,88201,37355
61,28230,12073
62,5270,2300
63,10600,4588
64,28439,12165
65,123022,52172
66,89460,37864
67,95165,40288
68,81192,34445
69,20746,8903
70,53911,22927
71,94311,39920
72,63255,26851
73,62004,26341
74,63488,26942
75,106357,45002
76,73573,31217
77,100845,42702
78,80470,34120
79,128841,54695
80,22408,9589
81,6907,3045
82,93455,39547
83,54289,23086
84,114455,48492
85,122986,52157
86,1193,497
87,107208,45387
88,135,61
89,95059,40242
90,119508,50658
91,75604,32072
92,46747,19918
93,78363,33227
94,89570,37903
95,35118,15045
96,97471,41245
97,17596,7565
98,118919,50413
99,95588,40451
100,56041,23825
101,55929,23780
102,71265,30271
103,71681,30437
104,119439,50628
105,63794,27082
106,36235,15496
107,80673,34222
108,118286,50152
109,85661,36354
110,129786,55092
111,124566,52886
112,124109,52684
113,70632,29996
114,111424,47180
115,77260,32734
116,66636,28296
117,22322,9557
118,44399,18955
119,44973,19207
120,36585,15649
121,19147,8200
122,41716,17816
123,6588,2909
124,77358,32778
125,27914,11931
126,37215,15927
127,115952,49150
128,91950,38933
129,62110,26384
130,89670,37942
131,70860,30090
132,40407,17249
133,127712,54234
134,92618,39212
135,75341,31955
136,34972,14985
137,13628,5878
138,85029,36078
139,17866,7675
140,65824,27948
141,112534,47704
142,101246,42863
143,114077,48339
144,105378,44588
145,20016,8572
146,35608,15255
147,24870,10652
148,27510,11759
149,18636,8000
150,107248,45406
151,40153,17156
152,72370,30721
153,120381,51043
154,108554,45966
155,19937,8544
156,60185,25553
157,80404,34085
158,23617,10120
159,71414,30326
160,56859,24170
161,6564,2901
162,78235,33180
163,29854,12774
164,63651,27015
165,52073,22172
166,112264,47577
167,56862,24171
168,56372,23964
169,39307,16805
170,44939,19189
171,59513,25264
172,104620,44262
173,30720,13140
174,72714,30872
175,37452,16031
176,49849,21253
177,13422,5784
178,101641,43013
179,8970,3877
180,18202,7821
181,118084,50056
182,27441,11730
183,71379,30315
184,102730,43462
185,116642,49437
186,30104,12884
187,57319,24343
188,96143,40674
189,79430,33668
190,112298,47593
191,45087,19251
192,108120,45772
193,74374,31557
194,114549,48528
195,94742,40099
196,117132,49645
197,66563,28264
198,1025,421
199,96868,41001
200,6296,2770
201,13139,5666
202,96370,40768
203,105172,44498
204,104387,44156
205,55557,23622
206,67334,28588
207,110665,46868
208,42682,18234
209,80993,34368
210,84332,35784
211,120537,51115
212,130258,55286
213,102039,43177
214,77365,32781
215,89180,37769
216,61048,25911
217,26369,11281
218,34812,14914
219,121128,51357
220,9896,4277
221,106311,44985
222,19627,8413
223,49098,20927
224,107394,45468
225,37777,16171
226,65599,27851
227,99069,41929
228,41095,17548
229,31623,13533
230,73949,31373
231,101763,43069
232,31461,13464
233,129234,54862
234,63130,26802
235,20326,8706
236,7938,3454
237,72666,30851
238,28038,11992
239,125203,53152
240,123821,52556
241,115513,48967
242,80653,34210
243,100591,42598
244,119006,50453
245,120564,51133
246,64719,27470
247,63212,26836
248,129197,54840
249,122175,51814
250,113270,48010
251,129010,54759
252,116473,49363
253,26914,11523
254,99135,41953
255,83009,35221
256,60294,25592
257,109095,46202
258,121983,51731
259,10672,4625
260,8843,3822
261,109058,46185
262,80520,34147
263,29975,12830
264,55733,23699
265,100800,42681
266,81633,34636
267,80936,34343
268,121434,51493
269,119345,50591
270,70049,29747
271,39999,17093
272,6893,3035
273,120532,51112
274,69612,29555
275,94749,40103
276,124382,52801
277,122506,51943
278,90149,38147
279,69329,29435
280,64869,27541
281,45346,19363
282,9815,4245
283,123953,52613
284,113506,48102
285,64411,27342
286,62461,26524
287,77372,32784
288,117520,49811
289,18639,8001
290,61730,26221
291,49346,21028
292,50843,21663
293,18387,7903
294,76912,32593
295,127860,54286
296,122559,51969
297,31835,13629
298,107080,45326
299,118766,50343
300,6997,3090
301,23512,10065
302,95188,40296
303,107719,45606
304,61166,25963
305,68581,29141
306,3596,1582
307,104952,44405
308,46492,19812
309,85250,36174
310,91893,38910
311,55464,23580
312,82007,34801
313,85816,36419
314,110384,46738
315,114286,48426
316,121609,51567
317,112552,47712
318,124735,52959
319,40329,17218
320,57625,24474
321,83083,35253
322,45614,19463
323,79,34
324,35241,15098
325,8117,3523
326,113644,48164
327,20369,8729
328,88121,37321
329,11210,4859
330,83131,35276
331,57521,24434
332,83758,35552
333,92517,39162
334,15295,6591
335,97466,41243
336,1647,706
337,35614,15257
338,97444,41234
339,42919,18329
340,112067,47474
341,21126,9061
342,65621,27860
343,80732,34248
344,99447,42082
345,52010,22145
346,39698,16966
347,4498,1974
348,53351,22684
349,98492,41700
350,3268,1432
351,7250,3186
352,88233,37367
353,28366,12127
354,49464,21081
355,111960,47429
356,49679,21174
357,69065,29336
358,4514,1978
359,69408,29467
360,102738,43465
361,3765,1648
362,77306,32758
363,62711,26627
364,110931,46982
365,53518,22761
366,101694,43036
367,11333,4914
368,61018,25896
369,79846,33844
370,23300,9973
371,48955,20871
372,81662,34653
373,115414,48923
374,24586,10523
375,3026,1324
376,47768,20349
377,53550,22777
378,116085,49199
379,12179,5251
380,108259,45840
381,108947,46138
382,32191,13808
383,97374,41207
384,122941,52140
385,21439,9190
386,15391,6630
387,114517,48517
388,100921,42727
389,100838,42697
390,62857,26686
391,28001,11973
392,64690,27458
393,59761,25365
394,98864,41846
395,48377,20627
396,62360,26487
397,70352,29873
398,68880,29259
399,15587,6710
400,94215,39871
401,73614,31237
402,83683,35522
403,93658,39636
404,69185,29382
405,72098,30611
406,71204,30243
407,75513,32030
408,25164,10771
409,41217,17597
410,113991,48302
411,46255,19724
412,35853,15351
413,123794,52540
414,110308,46704
415,129,59
416,4335,1895
417,101693,43035
418,57500,24424
419,84973,36058
420,107680,45591
421,28125,12030
422,16295,7008
423,88582,37505
424,85305,36195
425,83537,35459
426,12646,5462
427,114975,48730
428,25386,10862
429,41099,17551
430,9415,4073
431,50305,21453
432,115688,49054
433,126757,53827
434,43398,18539
435,5594,2432
436,10630,4605
437,110657,46864
438,104357,44144
439,57076,24254
440,70009,29727
441,101271,42873
442,34206,14644
443,89069,37725
444,20860,8955
445,3800,1668
446,102470,43357
447,33750,14474
448,5712,2487
449,108234,45830
450,80471,34121
451,93771,39681
452,113263,48008
453,64028,27178
454,101416,42920
455,68670,29177
456,9260,4002
457,73232,31082
458,71420,30329
459,91214,38605
460,51220,21819
461,10969,4756
462,1173,489
463,91667,38818
464,41660,17790
465,92704,39246
466,92817,39300
467,13633,5882
468,91391,38699
469,47478,20237
470,54037,22983
471,21596,9258
472,54997,23389
473,127764,54253
474,122678,52021
475,20353,8720
476,62941,26726
477,22666,9695
478,39384,16835
479,124148,52706
480,78207,33167
481,49526,21107
482,41236,17604
483,119548,50679
484,53582,22786
485,40716,17389
486,42914,18327
487,79501,33700
488,55531,23611
489,94412,39966
490,22968,9833
491,48607,20720
492,85238,36163
493,93555,39596
494,81686,34665
495,22764,9737
496,86681,36765
497,128301,54472
498,63487,26941
499,76803,32549
500,5323,2318
501,95441,40397
502,16048,6908
503,81543,34603
504,64186,27246
505,107775,45627
506,118790,50352
507,26595,11383
508,99963,42302
509,40453,17271
510,94946,40185
511,23046,9868
512,22151,9482
513,77484,32835
514,3673,1610
515,68450,29077
516,95877,40558
517,85653,36352
518,66731,28339
519,83277,35352
520,24616,10541
521,113713,48195
522,102592,43401
523,38516,16487
524,38220,16365
525,110361,46725
526,23526,10069
527,111991,47442
528,33868,14514
529,51947,22125
530,12989,5596
531,10656,4617
532,98049,41501
533,111320,47142
534,65773,27924
535,14367,6195
536,123103,52211
537,126979,53924
538,46387,19778
539,26226,11215
540,31065,13298
541,105334,44570
542,55448,23573
543,125894,53448
