role_rank0,csv_row_index0,working_index0
0,129490,54956
1,10597,4586
2,50449,21507
3,1873,802
4,27748,11861
5,126575,53735
6,42154,18005
7,67337,28590
8,51163,21796
9,37899,16224
10,113625,48156
11,109551,46387
12,38548,16497
13,79571,33730
14,83631,35499
15,46976,20032
16,69928,29688
17,37289,15965
18,59172,25123
19,14958,6446
20,3433,1517
21,67768,28788
22,117888,49968
23,11158,4834
24,99308,42022
25,24872,10654
26,107470,45504
27,22464,9613
28,129333,54894
29,100951,42742
30,121722,51613
31,91641,38805
32,66138,28075
33,7000,3091
34,30642,13102
35,63878,27115
36,32983,14137
37,128565,54594
38,29359,12549
39,89043,37715
40,4254,1860
41,35934,15387
42,109436,46339
43,127297,54045
44,126988,53927
45,79759,33804
46,10349,4478
47,17063,7344
48,108666,46012
49,84905,36027
50,43067,18385
51,36644,15678
52,44228,18879
53,128215,54442
54,89718,37962
55,97187,41134
56,36235,15496
57,90060,38114
58,21475,9205
59,75669,32093
60,42900,18321
61,2220,953
62,65207,27696
63,19712,8451
64,78017,33081
65,35722,15300
66,22952,9824
67,79460,33678
68,112365,47628
69,31369,13427
70,42489,18154
71,71921,30535
72,105824,44780
73,112731,47792
74,88704,37559
75,73392,31141
76,23768,10187
77,84585,35895
78,81651,34644
79,44289,18906
80,29407,12571
81,97918,41441
82,88696,37555
83,29624,12664
84,37020,15838
85,100727,42653
86,78453,33271
87,41630,17777
88,80187,33986
89,38973,16655
90,109833,46501
91,92332,39091
92,58555,24865
93,34163,14626
94,22469,9616
95,2262,977
96,102745,43470
97,123296,52301
98,7002,3092
99,17346,7448
100,53909,22926
101,38795,16586
102,61527,26123
103,67626,28720
104,79797,33825
105,106037,44867
106,5815,2542
107,91167,38581
108,5803,2533
109,11970,5171
110,468,196
111,90763,38406
112,47853,20386
113,82372,34958
114,101349,42891
115,45385,19378
116,13731,5924
117,80127,33959
118,98438,41681
119,35792,15328
120,111679,47296
121,84021,35670
122,46320,19745
123,62109,26383
124,37655,16121
125,124520,52861
126,98348,41637
127,107484,45510
128,62297,26458
129,116442,49350
130,54219,23057
131,112374,47636
132,60703,25769
133,66316,28148
134,15906,6847
135,117350,49735
136,96969,41046
137,22571,9655
138,90034,38100
139,96302,40739
140,64036,27183
141,100406,42501
142,39044,16680
143,110522,46802
144,68933,29282
145,16005,6893
146,77590,32888
147,72134,30625
148,4647,2034
149,27632,11804
150,78330,33212
151,51593,21979
152,46916,20005
153,71656,30427
154,40356,17232
155,94323,39925
156,41968,17925
157,18354,7887
158,41948,17913
159,93024,39379
160,83405,35409
161,97587,41301
162,128979,54748
163,73427,31153
164,125953,53470
165,52157,22209
166,104401,44163
167,99547,42121
168,2227,956
169,2897,1255
170,111667,47288
171,117544,49823
172,89982,38079
173,113733,48202
174,40544,17308
175,71839,30497
176,24177,10362
177,88815,37612
178,40353,17229
179,75181,31889
180,88507,37474
181,61748,26226
182,99251,41999
183,84848,36005
184,127316,54053
185,42244,18041
186,68523,29114
187,116192,49246
188,47934,20418
189,103704,43862
190,34843,14929
191,123536,52420
192,110662,46866
193,70402,29900
194,26458,11314
195,33038,14166
196,3526,1556
197,74184,31482
198,66389,28181
199,90045,38109
200,126764,53831
201,56648,24080
202,77915,33033
203,124004,52635
204,121945,51710
205,120895,51272
206,85646,36349
207,128360,54496
208,15827,6811
209,120936,51285
210,59224,25141
211,62386,26497
212,98257,41590
213,35453,15183
214,112936,47883
215,113333,48037
216,106161,44922
217,124311,52779
218,12489,5384
219,59959,25456
220,74823,31743
221,102196,43246
222,61720,26214
223,106038,44868
224,124382,52801
225,4414,1938
226,65063,27632
227,13949,6015
228,23482,10055
229,37380,15999
230,130212,55262
231,79435,33670
232,14580,6280
233,16554,7122
234,111806,47352
235,22431,9596
236,53522,22764
237,81911,34762
238,3462,1527
239,92832,39304
240,119642,50725
241,112722,47789
242,60600,25725
243,36285,15521
244,2981,1295
245,127758,54249
246,111946,47417
247,81158,34430
248,106625,45122
249,51502,21943
250,30978,13256
251,48205,20546
252,65743,27912
253,118650,50294
254,13217,5702
255,71932,30544
256,84412,35823
257,67538,28682
258,4574,2005
259,16850,7252
260,26032,11148
261,98731,41802
