role_rank0,csv_row_index0,working_index0
0,7145,3141
1,32903,14103
2,76036,32248
3,127218,54017
4,10091,4365
5,130218,55266
6,49112,20936
7,43449,18559
8,98903,41862
9,33460,14353
10,106661,45138
11,19806,8491
12,127841,54278
13,45325,19354
14,81155,34428
15,71189,30237
16,32474,13927
17,87842,37217
18,54467,23156
19,75791,32147
20,76597,32476
21,94125,39823
22,44688,19093
23,35159,15060
24,68998,29313
25,53937,22938
26,51635,21999
27,89574,37905
28,120768,51220
29,5286,2307
30,29559,12633
31,112466,47679
32,118756,50339
33,107265,45415
34,130259,55287
35,77685,32934
36,65190,27686
37,15121,6518
38,98435,41679
39,39018,16670
40,110127,46629
41,52071,22170
42,93882,39722
43,17939,7709
44,41723,17819
45,38174,16347
46,113751,48210
47,105929,44828
48,44968,19204
49,14901,6424
50,13183,5685
51,44951,19199
52,107911,45688
53,103305,43700
54,29064,12415
55,1077,445
56,128462,54544
57,77571,32880
58,111900,47391
59,35518,15214
60,69652,29572
61,19158,8204
62,2091,900
63,156,72
64,48861,20825
65,40102,17134
66,7732,3380
67,6976,3080
68,52375,22299
69,61541,26130
70,69609,29552
71,4322,1887
72,5933,2602
73,62883,26699
74,1648,707
75,99934,42292
76,103185,43651
77,46683,19895
78,14584,6281
79,100949,42741
80,3134,1374
81,10112,4372
82,108972,46149
83,74730,31704
84,107892,45679
85,48244,20567
86,31379,13430
87,41082,17546
88,108448,45922
89,16128,6942
90,89024,37704
91,29225,12492
92,110301,46699
93,92184,39034
94,48621,20729
95,15591,6713
96,47364,20187
97,72698,30866
98,115244,48844
99,123766,52526
100,67078,28481
101,89818,38011
102,44504,19007
103,12145,5238
104,83633,35501
105,39378,16833
106,90979,38499
107,51484,21935
108,116609,49418
109,5865,2566
110,89200,37777
111,63399,26905
112,98730,41801
113,115719,49065
114,115656,49038
115,60183,25552
116,120192,50967
117,30994,13267
118,40106,17137
119,14507,6246
120,47734,20341
121,10643,4611
122,116183,49241
123,96781,40960
124,108652,46006
125,36384,15561
126,82049,34822
127,66253,28121
128,98264,41593
129,81242,34461
130,11058,4801
131,24534,10500
132,96774,40956
133,16947,7293
134,121290,51425
135,74496,31608
136,40768,17412
137,10060,4352
138,125526,53303
139,90605,38337
140,58046,24653
141,76251,32340
142,35983,15405
143,25151,10764
144,118087,50057
145,86684,36767
146,28441,12167
147,129603,55006
148,44047,18803
149,108319,45866
150,118241,50129
151,61139,25952
152,99176,41967
153,73533,31195
154,74870,31754
155,16609,7149
156,11114,4817
157,86173,36570
158,10859,4706
159,64752,27486
160,129362,54905
161,116515,49384
162,83394,35404
163,41577,17755
164,5966,2621
165,61663,26187
166,50381,21480
167,109203,46246
168,117469,49787
169,119059,50473
170,53372,22694
171,39866,17039
172,7500,3290
173,78041,33093
174,127980,54341
175,68035,28901
176,54199,23049
177,14713,6343
178,111020,47022
179,33342,14299
180,93936,39743
181,83002,35218
182,83475,35439
183,99375,42050
184,119273,50559
185,31823,13622
186,66568,28268
187,28596,12226
188,86364,36647
189,70567,29973
190,27864,11908
191,33462,14355
192,96587,40866
193,117595,49841
194,90724,38387
195,56420,23988
196,8948,3869
197,119061,50475
198,58153,24693
199,40196,17174
200,43165,18429
201,114519,48518
202,42411,18124
203,47,19
