role_rank0,csv_row_index0,working_index0
0,77342,32771
1,29242,12498
2,59043,25064
3,47628,20298
4,74158,31469
5,20545,8814
6,104000,43985
7,65709,27899
8,52755,22439
9,15935,6863
10,6742,2970
11,128902,54722
12,12930,5572
13,30412,13010
14,35419,15168
15,5394,2351
16,80470,34120
17,77956,33053
18,57873,24575
19,35000,14997
20,89214,37782
21,36902,15786
22,65747,27915
23,78749,33375
24,44334,18930
25,27614,11795
26,76125,32284
27,85186,36142
28,92173,39029
29,41756,17831
30,66004,28022
31,5745,2505
32,98415,41669
33,115937,49142
34,45039,19231
35,115429,48928
36,81260,34468
37,26750,11453
38,93566,39602
39,98143,41547
40,6498,2874
41,64940,27569
42,118884,50396
43,71556,30382
44,25855,11071
45,45507,19422
46,121014,51311
47,125436,53263
48,24098,10323
49,7123,3131
50,95938,40587
51,74568,31640
52,118063,50048
53,74049,31413
54,80719,34242
55,101268,42872
56,28472,12179
57,58996,25044
58,17562,7546
59,76115,32280
60,24183,10366
61,40653,17355
62,108947,46138
63,71301,30288
64,61066,25921
65,107532,45530
66,115594,49007
67,76831,32560
68,55377,23539
69,112535,47705
70,110637,46853
71,43189,18439
72,78998,33482
73,23131,9902
74,33889,14526
75,10972,4757
76,2938,1273
77,79271,33596
78,88527,37484
79,61615,26164
80,112880,47860
81,62019,26345
82,36925,15799
83,117433,49769
84,123889,52584
85,5355,2331
86,56958,24209
87,85550,36299
88,125826,53419
89,114145,48368
90,121991,51736
91,101043,42771
92,3439,1519
93,105630,44695
94,109243,46268
95,53591,22792
96,6331,2788
97,108760,46057
98,129469,54950
99,23018,9858
100,120161,50950
101,86207,36583
102,88408,37438
103,31566,13508
104,2957,1283
105,86338,36636
106,108382,45894
107,2342,1012
108,80335,34054
109,43332,18504
110,81437,34550
111,56410,23982
112,3200,1400
113,101641,43013
114,94740,40098
115,107581,45555
116,99873,42264
117,80725,34246
118,102828,43503
119,40775,17416
120,71870,30513
121,111070,47042
122,96991,41054
123,20304,8700
124,97516,41266
125,42370,18100
126,79167,33552
127,80599,34182
128,56263,23917
129,55708,23686
130,38901,16622
131,126366,53649
132,27962,11956
133,39798,17008
134,81018,34379
135,17744,7620
136,9547,4132
137,125353,53226
138,22322,9557
139,57454,24405
140,129084,54793
141,91391,38699
142,76203,32325
143,67647,28728
144,88231,37366
145,37210,15926
146,48935,20861
147,110562,46818
148,95143,40279
149,90509,38296
150,47130,20107
151,124754,52965
152,106633,45126
153,15494,6668
154,84288,35766
155,8538,3692
156,76014,32235
157,96192,40692
158,50078,21362
159,33235,14254
160,113438,48079
161,4275,1870
162,118846,50380
163,75162,31877
164,71131,30216
165,81752,34691
166,28213,12069
167,35771,15317
168,23740,10173
169,75534,32041
170,71795,30481
171,44773,19127
172,95055,40240
173,107972,45715
174,35166,15062
175,27831,11897
176,109907,46534
177,96565,40857
178,36046,15428
179,120526,51111
180,29669,12683
181,2032,874
182,81595,34622
183,96544,40847
184,88513,37477
185,18121,7787
186,34495,14771
187,54126,23014
188,76891,32585
189,14310,6170
190,104072,44014
