rank0,csv_row_index0,working_index0
0,5063,2221
1,54106,23007
2,17618,7574
3,28074,12009
4,115249,48846
5,49951,21307
6,45648,19475
7,78687,33356
8,89325,37816
9,58909,25008
10,34644,14838
11,122885,52115
12,127258,54029
13,37615,16105
14,36851,15765
15,102554,43390
16,732,311
17,19179,8219
18,53276,22651
19,22439,9599
20,7012,3096
21,11708,5061
22,115621,49022
23,6437,2841
24,64662,27446
25,110020,46586
26,98492,41700
27,93382,39514
28,56337,23947
29,128281,54465
30,114121,48359
31,20336,8710
32,56243,23908
33,8589,3712
34,114234,48405
35,33127,14208
36,112192,47540
37,8783,3793
38,80532,34153
39,15297,6593
40,78886,33434
41,31963,13694
42,29563,12635
43,79118,33528
44,26665,11417
45,88617,37522
46,80555,34164
47,113118,47953
48,77002,32621
49,111162,47082
50,67593,28706
51,67710,28755
52,3171,1387
53,30937,13238
54,94208,39868
55,37928,16237
56,44274,18900
57,77925,33040
58,73796,31310
59,7937,3453
60,86220,36588
61,69945,29698
62,4122,1810
63,86006,36502
64,80770,34270
65,113542,48121
66,108593,45984
67,48075,20477
68,54441,23145
69,16830,7245
70,3396,1495
71,18834,8076
72,44008,18787
73,113396,48064
74,86782,36813
75,70966,30141
76,24598,10531
77,28953,12372
78,128553,54587
79,64463,27370
80,50688,21603
81,94696,40081
82,52089,22179
83,123958,52616
84,57690,24496
85,91528,38753
86,84975,36060
87,41915,17898
88,115319,48879
89,12540,5414
90,76576,32468
91,86648,36755
92,9257,4001
93,6612,2917
94,34245,14661
95,107696,45599
96,59672,25326
97,56813,24151
98,68126,28938
99,90262,38191
100,28634,12239
101,27805,11883
102,104756,44326
103,106721,45168
104,56041,23825
105,36930,15801
106,97557,41286
107,58037,24648
108,129300,54885
109,106516,45078
110,67855,28826
111,66033,28030
112,64982,27589
113,27743,11858
114,32546,13954
115,48645,20742
116,23748,10179
117,88957,37671
118,63532,26956
119,33967,14559
120,17321,7438
121,111350,47152
122,122513,51946
123,64578,27414
124,87148,36944
125,93882,39722
126,69525,29517
127,49576,21131
128,689,292
129,27480,11745
130,44343,18935
131,5626,2449
132,95365,40364
133,52589,22380
134,40754,17405
135,6360,2802
136,11314,4901
137,98645,41764
138,7386,3246
139,62303,26460
140,117974,50004
141,48267,20576
