receiver_rank0,bs,calibration_receptions,subsampled_receptions,quantile_threshold_dbm,filtered_receptions,strong_filter_used
0,14,7013,2000,-107.0,567,True
1,32,5177,2000,-112.0,640,True
2,20,3120,2000,-113.0,737,True
3,9,5024,2000,-110.0,564,True
4,27,5680,2000,-110.0,506,True
5,4,3191,2000,-114.0,563,True
6,10,4027,2000,-89.0,535,True
7,2,4657,2000,-103.0,530,True
8,69,6211,2000,-113.0,826,True
9,18,3219,2000,-108.75,500,True
10,5,3548,2000,-108.0,592,True
11,6,1725,1725,-113.0,722,True
12,22,1749,1749,-113.0,483,True
13,11,3572,2000,-110.0,601,True
14,34,922,922,-114.0,245,True
15,1,2781,2000,-115.0,798,True
16,70,945,945,-113.0,266,True
17,16,361,361,-113.0,155,True
18,25,1209,1209,-114.0,345,True
19,15,607,607,-112.0,173,True
20,33,69,69,-113.0,69,False
21,7,1597,1597,-112.0,418,True
22,31,1545,1545,-113.0,484,True
23,12,1631,1631,-112.0,416,True
24,17,1505,1505,-111.0,431,True
25,19,1708,1708,-114.0,611,True
26,48,91,91,-119.0,91,False
27,37,366,366,-113.0,129,True
28,3,1065,1065,-113.0,312,True
29,50,90,90,-112.0,90,False
30,44,46,46,-115.0,46,False
31,23,336,336,-111.0,99,True
32,35,66,66,-105.0,66,False
33,71,58,58,-108.0,58,False
34,41,30,30,-101.25,30,False
35,52,17,17,-114.0,17,False
36,43,10,10,-114.0,10,False
37,59,4,4,-115.0,4,False
38,47,6,6,-107.25,6,False
39,55,1,1,-113.0,1,False
40,53,1,1,-95.0,1,False
