role_rank0,csv_row_index0,working_index0
0,129490,54956
1,10597,4586
2,50449,21507
3,1873,802
4,27748,11861
5,42154,18005
6,67337,28590
7,59172,25123
8,38548,16497
9,99308,42022
10,79571,33730
11,107470,45504
12,37899,16224
13,46976,20032
14,22464,9613
15,67768,28788
16,83631,35499
17,117888,49968
18,69928,29688
19,14958,6446
20,11158,4834
21,24872,10654
22,37289,15965
23,109551,46387
24,3433,1517
25,129333,54894
26,57301,24335
27,58196,24712
28,66138,28075
29,7000,3091
30,30642,13102
31,63878,27115
32,32983,14137
33,128565,54594
34,29359,12549
35,89043,37715
36,4254,1860
37,35934,15387
38,109436,46339
39,127297,54045
40,126988,53927
41,79759,33804
42,10349,4478
43,17063,7344
44,85880,36455
45,108666,46012
46,84905,36027
47,43067,18385
48,36644,15678
49,44228,18879
50,122792,52080
51,128215,54442
52,89718,37962
53,97187,41134
54,36235,15496
55,90060,38114
56,21475,9205
57,75669,32093
58,42900,18321
59,2220,953
60,65207,27696
61,19712,8451
62,78017,33081
63,35722,15300
64,22952,9824
65,79460,33678
66,112365,47628
67,31369,13427
68,42489,18154
69,71921,30535
70,105824,44780
71,112731,47792
72,88704,37559
73,73392,31141
74,23768,10187
75,84585,35895
76,81651,34644
77,44289,18906
78,29407,12571
79,97918,41441
80,88696,37555
81,29624,12664
82,37020,15838
83,100727,42653
84,78453,33271
85,41630,17777
86,80187,33986
87,38973,16655
88,109833,46501
89,92332,39091
90,58555,24865
91,34163,14626
92,22469,9616
93,2262,977
94,102745,43470
95,123296,52301
96,7002,3092
97,17346,7448
98,53909,22926
99,38795,16586
100,61527,26123
101,67626,28720
102,79797,33825
103,106037,44867
104,5815,2542
105,91167,38581
106,5803,2533
107,11970,5171
108,468,196
109,90763,38406
110,47853,20386
111,82372,34958
112,101349,42891
113,45385,19378
114,13731,5924
115,80127,33959
116,98438,41681
117,111679,47296
118,62109,26383
119,35792,15328
120,37655,16121
121,124520,52861
122,84021,35670
123,98348,41637
124,46320,19745
125,107484,45510
126,62297,26458
127,116442,49350
128,54219,23057
129,112374,47636
130,60703,25769
131,66316,28148
132,15906,6847
133,117350,49735
134,96969,41046
135,22571,9655
136,90034,38100
137,96302,40739
138,64036,27183
139,100406,42501
140,39044,16680
141,110522,46802
142,68933,29282
143,16005,6893
144,77590,32888
145,72134,30625
146,4647,2034
147,27632,11804
148,78330,33212
149,51593,21979
150,46916,20005
151,71656,30427
152,40356,17232
153,94323,39925
154,122533,51955
155,41968,17925
156,18354,7887
157,41948,17913
158,93024,39379
159,83405,35409
160,97587,41301
161,128979,54748
162,73427,31153
163,125953,53470
164,52157,22209
165,104401,44163
166,99547,42121
167,2227,956
168,2897,1255
169,111667,47288
170,117544,49823
171,89982,38079
172,113733,48202
173,40544,17308
174,71839,30497
175,24177,10362
176,88815,37612
177,40353,17229
178,75181,31889
179,88507,37474
180,61748,26226
181,99251,41999
182,84848,36005
183,127316,54053
184,42244,18041
185,68523,29114
186,116192,49246
187,94137,39830
188,47934,20418
189,103704,43862
190,34843,14929
191,123536,52420
192,110662,46866
193,70402,29900
194,26458,11314
195,33038,14166
196,3526,1556
197,74184,31482
198,66389,28181
199,31906,13660
200,90045,38109
201,126764,53831
202,77915,33033
203,124004,52635
204,121945,51710
205,120895,51272
206,85646,36349
207,128360,54496
208,15827,6811
209,120936,51285
210,59224,25141
211,62386,26497
212,98257,41590
213,35453,15183
214,112936,47883
215,113333,48037
216,106161,44922
217,124311,52779
218,12489,5384
219,59959,25456
220,74823,31743
221,102196,43246
222,61720,26214
223,106038,44868
224,124382,52801
225,4414,1938
226,65063,27632
227,13949,6015
228,23482,10055
229,37380,15999
230,130212,55262
231,79435,33670
232,14580,6280
233,16554,7122
234,111806,47352
235,22431,9596
236,53522,22764
237,81911,34762
238,3462,1527
239,92832,39304
240,119642,50725
241,112722,47789
242,60600,25725
243,36285,15521
244,2981,1295
245,127758,54249
246,111946,47417
247,81158,34430
248,106625,45122
249,51502,21943
250,30978,13256
251,48205,20546
252,65743,27912
253,13217,5702
254,71932,30544
255,84412,35823
256,67538,28682
257,4574,2005
258,16850,7252
259,26032,11148
260,98731,41802
261,54906,23349
