role_rank0,csv_row_index0,working_index0
0,127595,54171
1,108383,45895
2,91103,38555
3,23525,10068
4,34363,14714
5,62714,26630
6,37846,16198
7,56300,23931
8,70490,29935
9,14886,6419
10,97450,41239
11,33631,14433
12,41346,17650
13,3465,1529
14,116692,49460
15,80722,34243
16,43351,18515
17,74818,31742
18,114797,48642
19,114032,48320
20,99748,42205
21,60637,25740
22,64170,27238
23,80850,34301
24,38717,16561
25,13132,5663
26,54166,23031
27,37855,16205
28,18995,8134
29,107073,45323
30,20879,8967
31,41733,17824
32,43969,18766
33,79244,33582
34,88770,37591
35,54324,23100
36,91097,38552
37,58583,24880
38,5251,2294
39,48279,20581
40,87386,37035
41,112020,47454
42,11089,4810
43,50201,21408
44,74119,31448
45,79978,33901
46,106132,44907
47,125267,53184
48,121418,51487
49,13330,5748
50,45106,19259
51,87481,37070
52,123675,52485
53,5384,2346
54,4998,2193
55,75301,31939
56,64471,27374
57,26542,11358
58,25548,10929
59,68034,28900
60,6158,2706
61,58577,24877
62,85835,36430
63,9018,3899
64,116642,49437
65,15241,6567
66,47072,20082
67,107653,45580
68,6201,2727
69,86732,36792
70,104191,44071
71,118246,50132
72,53260,22641
73,14986,6457
74,119773,50787
75,25606,10958
76,126132,53553
77,89468,37867
78,98351,41638
79,62271,26451
80,99557,42126
81,22102,9460
82,124068,52666
83,112523,47697
84,19310,8273
85,93526,39583
86,10705,4641
87,4064,1788
88,30782,13163
89,39877,17045
90,58725,24932
91,65694,27891
92,107204,45385
93,34077,14595
94,14017,6038
95,21354,9154
96,106755,45182
97,30394,13002
98,49389,21048
99,126031,53501
100,5682,2474
101,129453,54942
102,52117,22191
103,126231,53596
104,25455,10892
105,40560,17313
106,12209,5265
107,97933,41450
108,112051,47470
109,60960,25870
110,37316,15977
111,85919,36469
112,119016,50457
113,13453,5800
114,49878,21267
115,4215,1840
116,118307,50160
117,119161,50519
118,45219,19318
119,33249,14259
120,1900,815
121,21058,9033
122,6668,2938
123,81980,34790
124,68920,29274
125,97804,41389
126,118732,50327
127,119268,50556
128,8621,3726
