role_rank0,csv_row_index0,working_index0
0,28784,12298
1,67616,28716
2,36156,15466
3,65900,27978
4,27519,11765
5,49831,21246
6,88598,37511
7,14293,6163
8,95878,40559
9,11462,4965
10,80786,34279
11,120202,50972
12,117668,49874
13,41222,17601
14,2535,1093
15,93236,39456
16,95431,40389
17,90729,38388
18,9413,4072
19,88421,37444
20,40220,17184
21,123081,52204
22,63617,26999
23,1757,757
24,72751,30884
25,20828,8939
26,12043,5200
27,78772,33381
28,26272,11235
29,86430,36673
30,25871,11079
31,35586,15250
32,32601,13975
33,20096,8606
34,94242,39884
35,56609,24064
36,23300,9973
37,110383,46737
38,19141,8198
39,119447,50633
40,62925,26719
41,111549,47232
42,53041,22560
43,57411,24383
44,116997,49588
45,77340,32770
46,46423,19790
47,12973,5591
48,75234,31909
49,80097,33946
50,93035,39385
51,6437,2841
52,16516,7106
53,97796,41384
54,60442,25653
55,114203,48393
56,36816,15745
57,23392,10014
58,51299,21849
59,28011,11978
60,50887,21685
61,108785,46065
62,2091,900
63,53521,22763
64,101964,43148
65,46066,19648
66,21334,9149
67,65123,27659
68,19979,8562
69,43169,18430
70,119676,50743
71,44956,19200
72,64002,27165
73,55038,23404
74,26442,11308
75,68908,29270
76,44770,19125
77,8192,3556
78,1052,437
79,3980,1748
80,95561,40439
81,74872,31755
82,84095,35692
83,43286,18489
84,31197,13346
85,15160,6533
86,120760,51218
87,66831,28383
88,38507,16483
89,21147,9073
90,104678,44291
91,117403,49755
92,126975,53923
93,42402,18117
94,96612,40878
95,53198,22616
96,33870,14515
97,124525,52865
98,34784,14899
99,67414,28630
100,109333,46301
101,9489,4104
102,3655,1603
103,73670,31264
104,29466,12597
105,105620,44690
106,32299,13852
107,59057,25069
108,70458,29923
109,21365,9160
110,58724,24931
111,46167,19691
112,24535,10501
113,123205,52259
114,42897,18319
115,116404,49334
116,56415,23985
117,129470,54951
118,31267,13382
119,34414,14737
120,66160,28083
121,57239,24318
122,34795,14904
123,65480,27808
124,116422,49339
125,128037,54363
126,21599,9259
127,107248,45406
128,58419,24813
129,108278,45847
130,126828,53862
131,14347,6185
132,46613,19862
133,4354,1907
134,87300,37006
135,120656,51170
136,120555,51126
137,83072,35247
138,79600,33738
139,100074,42344
140,41275,17621
141,9388,4058
