map,method,scheme,clusters,n,difference_ci_low,difference_ci_high,ratio_ci_low,ratio_ci_high
official,WCL_raw,spatial500,91,1172,0.0,0.0,1.0,1.0
official,WCL_bc,spatial500,91,1172,-17.433211240902388,32.919850077902055,0.9717816590718418,1.0645580200599782
official,ABS_mean,spatial500,91,1172,-9.67112992705638,63.401379113156864,0.9789671223202481,1.097237956723599
official,DIFF_legacy,spatial500,91,1172,-69.39368585352068,158.41595920130698,0.9425261799155518,1.1226277325604457
official,DIFF_revised,spatial500,91,1172,-82.03891918515471,129.9643750258016,0.9353110108743731,1.1149616251354453
official,MinMax,spatial500,91,1172,-8.607321699144734,30.083281727088156,0.9782454166584952,1.064701290393878
official,WCL_raw,spatial1000,39,1172,0.0,0.0,1.0,1.0
official,WCL_bc,spatial1000,39,1172,-17.319937785602434,35.64309978343798,0.9710264618413057,1.0703180089898743
official,ABS_mean,spatial1000,39,1172,-14.453178936726344,64.73780119244994,0.9723041987484733,1.0980211044474866
official,DIFF_legacy,spatial1000,39,1172,-73.07380480300941,197.29391281991357,0.9355926169516682,1.1447335433643875
official,DIFF_revised,spatial1000,39,1172,-84.08636083941443,169.05143634578556,0.9292404416906382,1.1328315076793287
official,MinMax,spatial1000,39,1172,-9.429689469325355,36.061587365640186,0.9778656528449804,1.078453549977029
official,WCL_raw,UTC_day,16,1172,0.0,0.0,1.0,1.0
official,WCL_bc,UTC_day,16,1172,-18.359735047854883,14.088661872562545,0.9699627897191883,1.0242440243919702
official,ABS_mean,UTC_day,16,1172,-0.45989248445524156,55.94539904270846,0.9991978868289235,1.089121887099199
official,DIFF_legacy,UTC_day,16,1172,-59.6050332087345,96.67771836267599,0.9539823710996508,1.0843588366775825
official,DIFF_revised,UTC_day,16,1172,-70.75463614714074,98.80588243174572,0.9439897912059496,1.0904731653386333
official,MinMax,UTC_day,16,1172,-2.9358949396563463,22.433797672508575,0.993532615051959,1.046321414878706
recovered,WCL_raw,spatial500,91,1172,0.0,0.0,1.0,1.0
recovered,WCL_bc,spatial500,91,1172,-13.058175574013447,38.38814599096789,0.9760063109301662,1.0573714854609266
recovered,ABS_mean,spatial500,91,1172,5.064614249132319,127.85506842933263,1.0062424407512534,1.211393859525421
recovered,DIFF_legacy,spatial500,91,1172,-39.48210388759435,126.93206074125025,0.9714451495462437,1.1330456900336607
recovered,DIFF_revised,spatial500,91,1172,-33.30996053000119,126.5066432454402,0.9752700373325492,1.1332127926549673
recovered,MinMax,spatial500,91,1172,-3.6334634075476204,37.52203035520322,0.9936012493359195,1.1095810923856826
recovered,WCL_raw,spatial1000,39,1172,0.0,0.0,1.0,1.0
recovered,WCL_bc,spatial1000,39,1172,-17.857120275370278,44.29271968533036,0.9666851885912084,1.0631476576652492
recovered,ABS_mean,spatial1000,39,1172,8.337424777092737,134.82487350675035,1.010282900773145,1.2215316154797249
recovered,DIFF_legacy,spatial1000,39,1172,-39.20038419414959,144.96775039402894,0.9711632651581175,1.1469483240741833
recovered,DIFF_revised,spatial1000,39,1172,-36.37608417465144,140.2561761788846,0.9734298933072923,1.144977887067165
recovered,MinMax,spatial1000,39,1172,-4.194386636342756,42.55616987922306,0.9929176834558738,1.1393981300875178
recovered,WCL_raw,UTC_day,16,1172,0.0,0.0,1.0,1.0
recovered,WCL_bc,UTC_day,16,1172,-7.969782504373117,36.055652265335524,0.988414950911859,1.0583713505592438
recovered,ABS_mean,UTC_day,16,1172,12.394138149923574,98.13483439775344,1.016272285343349,1.148823633737858
recovered,DIFF_legacy,UTC_day,16,1172,10.359245981039138,123.76098028399942,1.0091367506122628,1.1183057913056158
recovered,DIFF_revised,UTC_day,16,1172,9.307161850801519,125.96168843638713,1.0084429540474924,1.121338731343124
recovered,MinMax,UTC_day,16,1172,-2.2642270275774425,32.12950927902042,0.9956228889671929,1.071645396421634
