retained_receivers,method,draw_count,n_median_across_draws,n_min_across_draws,n_max_across_draws,coverage_fraction_median_across_draws,coverage_fraction_min_across_draws,coverage_fraction_max_across_draws,median_m_median_across_draws,median_m_min_across_draws,median_m_max_across_draws,full_survivor_median_m_median_across_draws,full_survivor_median_m_min_across_draws,full_survivor_median_m_max_across_draws,removal_component_m_median_across_draws,removal_component_m_min_across_draws,removal_component_m_max_across_draws,selection_component_m_median_across_draws,selection_component_m_min_across_draws,selection_component_m_max_across_draws,over_1km_fraction_median_across_draws,over_1km_fraction_min_across_draws,over_1km_fraction_max_across_draws
33,FP_k3,1,2495.0,2495.0,2495.0,1.0,1.0,1.0,219.29225647763056,219.29225647763056,219.29225647763056,219.29225647763056,219.29225647763056,219.29225647763056,0.0,0.0,0.0,0.0,0.0,0.0,0.06853707414829659,0.06853707414829659,0.06853707414829659
33,MinMax,1,2495.0,2495.0,2495.0,1.0,1.0,1.0,467.635802988949,467.635802988949,467.635802988949,467.635802988949,467.635802988949,467.635802988949,0.0,0.0,0.0,0.0,0.0,0.0,0.1939879759519038,0.1939879759519038,0.1939879759519038
23,FP_k3,8,1308.5,972.0,1796.0,0.5244488977955912,0.38957915831663326,0.7198396793587174,323.7491133209869,154.6297636439692,358.28955714959466,285.47721242028194,162.61331358674732,322.3180542653988,28.69595648781994,-7.983549942778126,41.64502535335771,66.18495594265136,-56.678942890883235,103.02579778776825,0.10882130232328187,0.06904231625835189,0.11835506519558676
23,MinMax,8,1308.5,972.0,1796.0,0.5244488977955912,0.38957915831663326,0.7198396793587174,609.7248870318706,454.1345644229349,800.8103681482662,623.6706820500306,451.531910295162,691.9184195254946,10.16665122472287,-43.92755027100907,133.6010152929847,156.0348790610816,-16.10389269378703,224.28261653654562,0.25421400680045814,0.19320712694877507,0.3881644934804413
16,FP_k3,8,898.5,690.0,1276.0,0.3601202404809619,0.27655310621242485,0.5114228456913827,380.46294989452076,75.77344186586217,494.5939108633644,311.4629411353507,59.295621482539076,334.82550295439603,89.81492358160443,15.823779210583155,170.2859951201366,92.17068465772016,-159.99663499509148,115.53324647676547,0.12197955390334572,0.10579937304075235,0.22248520710059172
16,MinMax,8,898.5,690.0,1276.0,0.3601202404809619,0.27655310621242485,0.5114228456913827,685.6933800901018,262.4071474493372,1035.3065270196269,647.0881784579426,327.4109842974018,715.5987703612269,19.86044343763706,-65.00383684806462,319.70775665839994,179.45237546899364,-140.22481869154723,247.9629673722779,0.28422781752106047,0.2445141065830721,0.5220125786163522
10,FP_k3,8,270.5,177.0,722.0,0.10841683366733468,0.07094188376753507,0.28937875751503006,450.10921713437847,37.27525476136991,565.0651424064175,304.8424824493866,39.0781691187937,327.5347116090045,136.6759874060539,-1.802914357423795,254.6438445134042,85.55022597175605,-180.21408735883685,108.24245513137393,0.18088447583004955,0.06779661016949153,0.2850877192982456
10,MinMax,8,270.5,177.0,722.0,0.10841683366733468,0.07094188376753507,0.28937875751503006,830.0828901707379,462.52920526351954,1372.7873090756482,700.1325665935078,600.791358514881,817.4966181179511,133.0253834117052,-249.4299924096954,582.4421233532797,232.4967636045588,133.15555552593202,349.8608151290021,0.37039968341907403,0.1864406779661017,0.6491228070175439
6,FP_k3,8,43.0,4.0,274.0,0.017234468937875752,0.0016032064128256513,0.10981963927855712,514.6186678637221,279.15382498349044,805.1233371179429,347.42834723128965,203.01986572097084,603.6470345000016,164.26694820618013,-100.15425013699593,512.6980525573032,128.1360907536591,-16.272390756659718,384.3547780223711,0.2403846153846154,0.08333333333333333,0.5
6,MinMax,8,43.0,4.0,274.0,0.017234468937875752,0.0016032064128256513,0.10981963927855712,1404.6472324937754,1083.74917203211,1852.9325509447624,878.8995221298485,611.9490537729528,1304.1728459736364,520.3882258191722,-3.9192085653724007,1104.263135595786,411.2637191408994,144.31325078400374,836.5370429846873,0.6097826086956522,0.5370370370370371,1.0
