experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_33_0,FP_removal_on_survivors,paired_messages,6000,2495,2495,2495,2495,0.0,1.0,-2.842170943040401e-14,2.842170943040401e-14,0.9999999999999999,1.0000000000000002
removal_33_0,MinMax_removal_on_survivors,paired_messages,6000,2495,2495,2495,2495,0.0,1.0,-5.684341886080802e-14,5.684341886080802e-14,0.9999999999999999,1.0000000000000002
removal_33_0,MinMax_minus_FP_on_survivors,paired_messages,6000,2495,2495,2495,2495,248.34354651131846,2.1324775005753627,223.60739428442156,270.40887360757813,1.9819902526239193,2.2726249057811705
removal_33_0,FP_removal_on_survivors,spatial_1000m,6000,2495,39,672,5925,0.0,1.0,-5.684341886080802e-14,2.842170943040401e-14,0.9999999999999998,1.0000000000000002
removal_33_0,MinMax_removal_on_survivors,spatial_1000m,6000,2495,39,672,5925,0.0,1.0,-5.684341886080802e-14,5.684341886080802e-14,0.9999999999999999,1.0000000000000002
removal_33_0,MinMax_minus_FP_on_survivors,spatial_1000m,6000,2495,39,672,5925,248.34354651131846,2.1324775005753627,123.18607631446993,336.01679893176015,1.6437777828069444,5.32426180342086
removal_23_0,FP_removal_on_survivors,paired_messages,6000,1676,1676,1676,1676,-7.983549942778126,0.950904696751541,-26.28560934050592,17.736043549298593,0.8453166265358855,1.1119736707823382
removal_23_0,MinMax_removal_on_survivors,paired_messages,6000,1676,1676,1676,1676,37.151947574449935,1.0822797829508086,15.129052210309165,61.48420507277559,1.0324315703410403,1.1391099958691633
removal_23_0,MinMax_minus_FP_on_survivors,paired_messages,6000,1676,1676,1676,1676,334.05409422564276,3.1603479585909033,299.6682895716813,368.41677351942536,2.660474140915555,3.6924836532165712
removal_23_0,FP_removal_on_survivors,spatial_1000m,6000,1676,36,448,4811,-7.983549942778126,0.950904696751541,-13.734313355188453,53.17466785320727,0.9057965655830046,1.162561205493493
removal_23_0,MinMax_removal_on_survivors,spatial_1000m,6000,1676,36,448,4811,37.151947574449935,1.0822797829508086,-1.4857329051564585,107.29245666522226,0.990733326471493,1.1742039412641183
removal_23_0,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1676,36,448,4811,334.05409422564276,3.1603479585909033,109.33572059307907,462.35954409238633,1.7148192285668167,6.72579897776767
removal_23_1,FP_removal_on_survivors,paired_messages,6000,1374,1374,1374,1374,37.926153844279156,1.1382178109543302,20.87116207430472,64.7771554262405,1.0734905742075713,1.242522399188724
removal_23_1,MinMax_removal_on_survivors,paired_messages,6000,1374,1374,1374,1374,-32.88800642027218,0.9445647312805674,-58.35410614732223,-12.252362920922204,0.9037902001743053,0.9787216636704879
removal_23_1,MinMax_minus_FP_on_survivors,paired_messages,6000,1374,1374,1374,1374,248.06036414093978,1.7942499712228213,212.84095445977613,273.3148503970412,1.635999748629478,1.9126771470756674
removal_23_1,FP_removal_on_survivors,spatial_1000m,6000,1374,38,399,3177,37.926153844279156,1.1382178109543302,13.419784181769627,103.70547461952883,1.0594952280918055,1.3536299509177012
removal_23_1,MinMax_removal_on_survivors,spatial_1000m,6000,1374,38,399,3177,-32.88800642027218,0.9445647312805674,-104.3046922456954,57.884106452580966,0.8137335669323541,1.097886930448021
removal_23_1,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1374,38,399,3177,248.06036414093978,1.7942499712228213,173.81134814958847,293.57916586660093,1.421377070409185,2.3331302158418143
removal_23_2,FP_removal_on_survivors,paired_messages,6000,1243,1243,1243,1243,41.64502535335771,1.1315197995591997,18.233716094995746,65.91911125994658,1.0548336188546674,1.2195578166372207
removal_23_2,MinMax_removal_on_survivors,paired_messages,6000,1243,1243,1243,1243,133.6010152929847,1.2008858014089383,107.17273404009225,169.8260270986984,1.160583329044341,1.25634162502761
