experiment,draw_index0,retained_receivers,method,parent_n,coverage_fraction,n_ineligible,full_parent_median_m,full_survivor_median_m,removal_component_m,selection_component_m,total_displayed_change_m,n,median_m,mean_m,p90_m,over_1km_fraction,FP_all_parent_median_m
removal_33_0,0,33,FP_k3,2495,1.0,0,219.29225647763056,219.29225647763056,0.0,0.0,0.0,2495,219.29225647763056,339.6845638227776,825.9900854777311,0.06853707414829659,219.29225647763056
removal_33_0,0,33,MinMax,2495,1.0,0,467.635802988949,467.635802988949,0.0,0.0,0.0,2495,467.635802988949,590.6276516946017,1241.3671993941489,0.1939879759519038,
removal_23_0,0,23,FP_k3,2495,0.6717434869739479,819,219.29225647763056,162.61331358674732,-7.983549942778126,-56.678942890883235,-64.66249283366136,1676,154.6297636439692,325.91949026700877,910.1256626235374,0.08353221957040573,259.1259580520761
removal_23_0,0,23,MinMax,2495,0.6717434869739479,819,467.635802988949,451.531910295162,37.151947574449935,-16.10389269378703,21.048054880662903,1676,488.6838578696119,642.6087460629788,1465.3218869616985,0.24463007159904535,
removal_23_1,1,23,FP_k3,2495,0.5507014028056112,1121,219.29225647763056,274.3941144952058,37.926153844279156,55.10185801757527,93.02801186185442,1374,312.320268339485,449.149900998668,1072.718873644825,0.11717612809315867,260.8502877082564
removal_23_1,1,23,MinMax,2495,0.5507014028056112,1121,467.635802988949,593.2686389006969,-32.88800642027218,125.63283591174792,92.74482949147574,1374,560.3806324804248,657.7626531872606,1304.3649877586636,0.19941775836972345,
removal_23_2,2,23,FP_k3,2495,0.49819639278557115,1252,219.29225647763056,316.64453179623695,41.64502535335771,97.35227531860639,138.9973006719641,1243,358.28955714959466,483.49128643485153,1064.1631688471257,0.1166532582461786,285.29348130686026
removal_23_2,2,23,MinMax,2495,0.49819639278557115,1252,467.635802988949,665.0595231517455,133.6010152929847,197.42372016279643,331.0247354557811,1243,798.6605384447302,896.9499673039913,1650.2166646538678,0.3692679002413516,
removal_23_3,3,23,FP_k3,2495,0.5763527054108216,1057,219.29225647763056,322.18812886323065,33.04965303278743,102.89587238560009,135.94552541838752,1438,355.2377818960181,489.47718402741845,1057.0941949829096,0.11474269819193324,296.68487096080094
removal_23_3,3,23,MinMax,2495,0.5763527054108216,1057,467.635802988949,641.0176051505903,-42.47531417794676,173.38180216164125,130.9064879836945,1438,598.5422909726435,720.5724047709917,1431.6010665066387,0.24130737134909597,
