seed,region,receiver,calibration_receptions,intercept_available
3101,citywide,14,3371,True
3101,citywide,9,2362,True
3101,citywide,5,1721,True
3101,citywide,11,1706,True
3101,citywide,32,2511,True
3101,citywide,4,1512,True
3101,citywide,7,743,True
3101,citywide,12,768,True
3101,citywide,27,2715,True
3101,citywide,69,2982,True
3101,citywide,2,2250,True
3101,citywide,10,1970,True
3101,citywide,18,1541,True
3101,citywide,17,728,True
3101,citywide,70,469,True
3101,citywide,1,1310,True
3101,citywide,19,877,True
3101,citywide,31,738,True
3101,citywide,16,158,True
3101,citywide,22,846,True
3101,citywide,20,1511,True
3101,citywide,34,450,True
3101,citywide,23,164,True
3101,citywide,25,615,True
3101,citywide,3,515,True
3101,citywide,50,45,True
3101,citywide,15,308,True
3101,citywide,33,33,True
3101,citywide,37,168,True
3101,citywide,6,816,True
3101,citywide,48,46,True
3101,citywide,71,32,True
3101,citywide,44,21,True
3101,west,14,4504,True
3101,west,9,2201,True
3101,west,5,2717,True
3101,west,11,1351,True
3101,west,32,4343,True
3101,west,4,1892,True
3101,west,7,52,True
3101,west,12,172,True
3101,west,27,4135,True
3101,west,69,2090,True
3101,west,2,396,True
3101,west,10,94,True
3101,west,18,2642,True
3101,west,17,120,True
3101,west,70,101,True
3101,west,1,579,True
3101,west,19,1518,True
3101,west,31,609,True
3101,west,16,325,True
3101,west,22,1199,True
3101,west,20,2756,True
3101,west,34,792,True
3101,west,23,311,True
3101,west,25,1140,True
3101,west,3,248,True
3101,west,50,83,True
3101,west,15,555,True
3101,west,33,63,True
3101,west,37,48,True
3101,west,6,1195,True
3101,west,48,19,True
3101,west,71,54,True
3101,west,44,44,True
3101,east,14,2266,True
3101,east,9,2655,True
3101,east,5,695,True
3101,east,11,2086,True
3101,east,32,645,True
3101,east,4,1182,True
3101,east,7,1488,True
3101,east,12,1409,True
3101,east,27,1342,True
3101,east,69,3875,True
3101,east,2,4096,True
3101,east,10,3778,True
3101,east,18,453,True
3101,east,17,1338,True
3101,east,70,817,True
3101,east,1,2092,True
3101,east,19,124,True
3101,east,31,882,True
3101,east,16,23,True
3101,east,22,481,True
3101,east,20,255,True
3101,east,34,95,True
3101,east,23,11,True
3101,east,25,14,True
3101,east,3,766,True
3101,east,50,1,False
3101,east,15,29,True
3101,east,33,2,False
3101,east,37,305,True
3101,east,6,461,True
3101,east,48,70,True
3101,east,71,0,False
3101,east,44,0,False
3102,citywide,14,3376,True
3102,citywide,9,2408,True
3102,citywide,5,1720,True
3102,citywide,11,1682,True
3102,citywide,32,2466,True
3102,citywide,4,1524,True
3102,citywide,7,753,True
3102,citywide,12,786,True
3102,citywide,27,2747,True
3102,citywide,69,3037,True
3102,citywide,2,2225,True
3102,citywide,10,1909,True
3102,citywide,18,1566,True
3102,citywide,17,744,True
3102,citywide,70,456,True
3102,citywide,1,1346,True
3102,citywide,19,832,True
3102,citywide,31,735,True
3102,citywide,16,169,True
3102,citywide,22,859,True
3102,citywide,20,1498,True
3102,citywide,34,462,True
3102,citywide,23,152,True
3102,citywide,25,569,True
3102,citywide,3,484,True
3102,citywide,50,47,True
3102,citywide,15,302,True
3102,citywide,33,33,True
3102,citywide,37,186,True
3102,citywide,6,848,True
3102,citywide,48,44,True
3102,citywide,71,32,True
3102,citywide,44,17,True
3102,west,14,4491,True
3102,west,9,2180,True
3102,west,5,2711,True
3102,west,11,1336,True
3102,west,32,4335,True
3102,west,4,1877,True
3102,west,7,50,True
3102,west,12,168,True
3102,west,27,4143,True
3102,west,69,2091,True
3102,west,2,393,True
3102,west,10,92,True
3102,west,18,2655,True
3102,west,17,124,True
3102,west,70,97,True
3102,west,1,584,True
3102,west,19,1530,True
3102,west,31,604,True
3102,west,16,328,True
3102,west,22,1184,True
3102,west,20,2744,True
3102,west,34,788,True
3102,west,23,315,True
3102,west,25,1147,True
3102,west,3,243,True
3102,west,50,86,True
3102,west,15,556,True
3102,west,33,63,True
3102,west,37,50,True
3102,west,6,1188,True
3102,west,48,18,True
3102,west,71,56,True
3102,west,44,45,True
3102,east,14,2262,True
3102,east,9,2636,True
3102,east,5,696,True
3102,east,11,2098,True
3102,east,32,651,True
3102,east,4,1195,True
3102,east,7,1493,True
3102,east,12,1398,True
3102,east,27,1333,True
3102,east,69,3888,True
3102,east,2,4095,True
3102,east,10,3784,True
3102,east,18,449,True
3102,east,17,1338,True
3102,east,70,818,True
3102,east,1,2094,True
3102,east,19,128,True
3102,east,31,884,True
3102,east,16,24,True
3102,east,22,488,True
3102,east,20,248,True
3102,east,34,96,True
3102,east,23,11,True
3102,east,25,17,True
3102,east,3,783,True
3102,east,50,1,False
3102,east,15,29,True
3102,east,33,2,False
3102,east,37,304,True
3102,east,6,467,True
3102,east,48,68,True
3102,east,71,0,False
3102,east,44,0,False
3103,citywide,14,3362,True
3103,citywide,9,2389,True
3103,citywide,5,1682,True
3103,citywide,11,1676,True
3103,citywide,32,2508,True
3103,citywide,4,1470,True
3103,citywide,7,761,True
3103,citywide,12,783,True
3103,citywide,27,2730,True
3103,citywide,69,3028,True
3103,citywide,2,2239,True
3103,citywide,10,1927,True
3103,citywide,18,1603,True
3103,citywide,17,707,True
3103,citywide,70,468,True
3103,citywide,1,1327,True
3103,citywide,19,813,True
3103,citywide,31,723,True
3103,citywide,16,183,True
3103,citywide,22,814,True
3103,citywide,20,1544,True
3103,citywide,34,457,True
3103,citywide,23,166,True
3103,citywide,25,600,True
3103,citywide,3,495,True
3103,citywide,50,48,True
3103,citywide,15,285,True
3103,citywide,33,27,True
3103,citywide,37,165,True
3103,citywide,6,801,True
3103,citywide,48,41,True
3103,citywide,71,29,True
3103,citywide,44,15,True
3103,west,14,4492,True
3103,west,9,2193,True
3103,west,5,2707,True
3103,west,11,1344,True
3103,west,32,4332,True
3103,west,4,1866,True
3103,west,7,51,True
3103,west,12,169,True
3103,west,27,4151,True
3103,west,69,2097,True
3103,west,2,381,True
3103,west,10,92,True
3103,west,18,2666,True
3103,west,17,121,True
3103,west,70,99,True
3103,west,1,575,True
3103,west,19,1533,True
3103,west,31,604,True
3103,west,16,321,True
3103,west,22,1192,True
3103,west,20,2751,True
3103,west,34,792,True
3103,west,23,312,True
3103,west,25,1158,True
3103,west,3,247,True
3103,west,50,80,True
3103,west,15,556,True
3103,west,33,63,True
3103,west,37,48,True
3103,west,6,1192,True
3103,west,48,19,True
3103,west,71,55,True
3103,west,44,45,True
3103,east,14,2245,True
3103,east,9,2654,True
3103,east,5,703,True
3103,east,11,2085,True
3103,east,32,655,True
3103,east,4,1187,True
3103,east,7,1486,True
3103,east,12,1391,True
3103,east,27,1329,True
3103,east,69,3896,True
3103,east,2,4096,True
3103,east,10,3798,True
3103,east,18,451,True
3103,east,17,1327,True
3103,east,70,815,True
3103,east,1,2099,True
3103,east,19,128,True
3103,east,31,887,True
3103,east,16,23,True
3103,east,22,489,True
3103,east,20,247,True
3103,east,34,96,True
3103,east,23,11,True
3103,east,25,16,True
3103,east,3,776,True
