experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
geo_east_3101,FP_k3_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,563.197797383107,12.022848668752934,547.6994143398921,627.4989380778646,8.118540599023577,15.144524559761685
geo_east_3101,WCL_raw_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,0.0,1.0,0.0,0.0,1.0,1.0
geo_east_3101,WCL_bc_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,14.219976211032929,1.082803319359881,-12.753292242623246,56.94443568855184,0.9283672076774269,1.3047469636028761
geo_east_3101,ABS_mean_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,368.04140721703146,2.294324830296143,237.9878422991066,439.0706055298091,1.8356275106204738,2.5078607353005062
geo_east_3101,DIFF_median_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,4.341340168949159,1.0076403402569492,-108.49565408330338,127.04272564355279,0.7855849391997732,1.212249108544608
geo_east_3101,MinMax_opposite_minus_citywide,paired_messages,6000,1263,1263,1263,1263,104.44629741781225,1.437784341212434,25.909689840118038,154.09522347120463,1.1273603413858297,1.608284485322979
geo_east_3101,FP_k3_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,563.197797383107,12.022848668752934,536.2612335809797,1087.7987079676716,2.4610720859432695,33.40062488683595
geo_east_3101,WCL_raw_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,0.0,1.0,0.0,0.0,1.0,1.0
geo_east_3101,WCL_bc_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,14.219976211032929,1.082803319359881,-27.476546515719626,302.8081667159114,0.8963532429405593,1.5052401145064147
geo_east_3101,ABS_mean_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,368.04140721703146,2.294324830296143,1.041198067655813,443.51260879339367,1.004480183481321,2.4079177634405546
geo_east_3101,DIFF_median_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,4.341340168949159,1.0076403402569492,-103.90425362138356,453.09201208851425,0.8079353480265028,1.5627424931980962
geo_east_3101,MinMax_opposite_minus_citywide,spatial_500m,6000,1263,49,336,4293,104.44629741781225,1.437784341212434,-12.585248497586058,195.64513141129217,0.9262131233041884,1.669181621062822
geo_east_3101,FP_k3_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,563.197797383107,12.022848668752934,532.423032420007,1276.406973952573,2.3796439465858663,33.97695326007695
geo_east_3101,WCL_raw_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,0.0,1.0,0.0,0.0,1.0,1.0
geo_east_3101,WCL_bc_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,14.219976211032929,1.082803319359881,-50.35425484740094,334.14837689034573,0.8792982939903534,1.565980026103602
geo_east_3101,ABS_mean_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,368.04140721703146,2.294324830296143,1.0511777312336683,495.5367368946972,1.0044950063047797,2.393240115294214
geo_east_3101,DIFF_median_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,4.341340168949159,1.0076403402569492,-211.20477185165768,539.7525805045605,0.7931614319308579,1.6159272945184677
geo_east_3101,MinMax_opposite_minus_citywide,spatial_1000m,6000,1263,18,241,4093,104.44629741781225,1.437784341212434,-12.572309425684313,216.73651560879085,0.9283664052023752,1.662702873340101
geo_east_3101,FP_k3_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,563.197797383107,12.022848668752934,536.6419808615576,661.0158363228911,5.274961378477021,18.2845254837772
geo_east_3101,WCL_raw_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,0.0,1.0,0.0,0.0,1.0,1.0
geo_east_3101,WCL_bc_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,14.219976211032929,1.082803319359881,-23.868593732900216,72.02392036179074,0.9160827689605363,1.3085556618900922
geo_east_3101,ABS_mean_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,368.04140721703146,2.294324830296143,34.0151984597162,430.26994101989317,1.1390138430725123,2.4680749284090884
geo_east_3101,DIFF_median_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,4.341340168949159,1.0076403402569492,-112.35503265651926,168.873808159323,0.7577127770405264,1.2473296039182857
geo_east_3101,MinMax_opposite_minus_citywide,UTC_calendar_day,6000,1263,45,759,1900,104.44629741781225,1.437784341212434,-14.794589434557686,164.53227083557732,0.9146951603981518,1.5962927663503352
geo_west_3101,FP_k3_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,820.5610541922847,3.6963913450928376,792.5705591624643,857.973127992804,3.530007485383054,3.957948476499654
geo_west_3101,WCL_raw_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,0.0,1.0,0.0,0.0,1.0,1.0
geo_west_3101,WCL_bc_opposite_minus_citywide,paired_messages,6000,1218,1218,1218,1218,54.81286776070124,1.069812690865788,30.10316497346514,77.78673001971295,1.0375352793091746,1.1007916653634031
