experiment,direction,seed,calibration_arm,calibration_region,method,calibration_n,receivers,parent_direction_n,coverage_fraction,n,median_m,mean_m,p90_m,over_1km_fraction,nearest_database_median_m
geo_east_3101,east,3101,citywide,citywide,FP_k3,8000,29,1263,1.0,1263,51.093670457404926,270.10752640550123,805.5601537045297,0.060174188440221696,0.5998224067833686
geo_east_3101,east,3101,citywide,citywide,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3101,east,3101,citywide,citywide,WCL_bc,8000,29,1263,1.0,1263,171.73195858525747,575.5710397371885,1575.1039368979573,0.24465558194774348,
geo_east_3101,east,3101,citywide,citywide,ABS_mean,8000,29,1263,1.0,1263,284.35010949517454,586.4865734963176,1524.7161449449748,0.2209026128266033,
geo_east_3101,east,3101,citywide,citywide,DIFF_median,8000,29,1263,1.0,1263,568.2129359357416,1118.9125417875412,3252.7386790018036,0.3768804433887569,
geo_east_3101,east,3101,citywide,citywide,MinMax,8000,29,1263,1.0,1263,238.57933595466332,489.7298132408256,1175.2530679162483,0.17814726840855108,
geo_east_3101,east,3101,opposite,west,FP_k3,8000,29,1263,1.0,1263,614.2914678405119,1011.3382343324698,1964.1323235772,0.3222486144101346,487.00710727798145
geo_east_3101,east,3101,opposite,west,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3101,east,3101,opposite,west,WCL_bc,8000,29,1263,1.0,1263,185.9519347962904,645.9762332914476,1698.4552889292422,0.2842438638163104,
geo_east_3101,east,3101,opposite,west,ABS_mean,8000,29,1263,1.0,1263,652.391516712206,871.6164493337051,2109.6838672635677,0.3657957244655582,
geo_east_3101,east,3101,opposite,west,DIFF_median,8000,29,1263,1.0,1263,572.5542761046908,1186.5776881956515,3309.21453542944,0.41488519398258117,
geo_east_3101,east,3101,opposite,west,MinMax,8000,29,1263,1.0,1263,343.02563337247557,558.7729077361557,1279.8012790852217,0.20506730007917656,
geo_west_3101,west,3101,citywide,citywide,FP_k3,8000,29,1232,0.9886363636363636,1218,304.3182346975055,428.26865390213953,917.336704566481,0.07963875205254516,2.970024528606161
geo_west_3101,west,3101,citywide,citywide,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3101,west,3101,citywide,citywide,WCL_bc,8000,29,1232,0.9886363636363636,1218,785.1418858224035,886.4767645150171,1531.9210694267633,0.34072249589490966,
geo_west_3101,west,3101,citywide,citywide,ABS_mean,8000,29,1232,0.9886363636363636,1218,622.3405767492051,774.5071694509564,1437.7930843306488,0.23645320197044334,
geo_west_3101,west,3101,citywide,citywide,DIFF_median,8000,29,1232,0.9886363636363636,1218,1417.9331383644799,1701.4709018047765,3543.044314623721,0.6239737274220033,
geo_west_3101,west,3101,citywide,citywide,MinMax,8000,29,1232,0.9886363636363636,1218,567.8879244029922,696.6577661357169,1333.5666865259102,0.2044334975369458,
geo_west_3101,west,3101,opposite,east,FP_k3,8000,29,1232,0.9886363636363636,1218,1124.8792888897901,1322.335288531663,2122.897913334486,0.6198686371100164,744.5549480429429
geo_west_3101,west,3101,opposite,east,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3101,west,3101,opposite,east,WCL_bc,8000,29,1232,0.9886363636363636,1218,839.9547535831048,936.4377241661738,1601.6980695770535,0.3825944170771757,
geo_west_3101,west,3101,opposite,east,ABS_mean,8000,29,1232,0.9886363636363636,1218,860.9860148580548,1008.9653787221847,1726.3452560865976,0.38013136288998356,
geo_west_3101,west,3101,opposite,east,DIFF_median,8000,29,1232,0.9886363636363636,1218,1315.1854203759758,1593.9365376356218,3104.20559930229,0.6354679802955665,
geo_west_3101,west,3101,opposite,east,MinMax,8000,29,1232,0.9886363636363636,1218,687.94391985189,806.3782965144873,1509.3507101819662,0.23809523809523808,
geo_east_3102,east,3102,citywide,citywide,FP_k3,8000,29,1263,1.0,1263,49.84363154876664,271.22831640934254,839.7736258813771,0.06492478226444973,0.5394947270799528
geo_east_3102,east,3102,citywide,citywide,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3102,east,3102,citywide,citywide,WCL_bc,8000,29,1263,1.0,1263,165.24095063598918,574.7031376913286,1590.008025389191,0.24069675376088678,
geo_east_3102,east,3102,citywide,citywide,ABS_mean,8000,29,1263,1.0,1263,284.4392053149555,588.3233219596834,1468.1081471458524,0.21852731591448932,
geo_east_3102,east,3102,citywide,citywide,DIFF_median,8000,29,1263,1.0,1263,542.7552381496766,1138.7509528099356,3393.7622501534474,0.3824228028503563,
geo_east_3102,east,3102,citywide,citywide,MinMax,8000,29,1263,1.0,1263,240.26831316193017,488.29896307290755,1184.3324967389817,0.17656373713380838,
geo_east_3102,east,3102,opposite,west,FP_k3,8000,29,1263,1.0,1263,618.4536609542542,1005.5611100312568,1964.1323235772,0.3238321456848773,487.00710727798145
geo_east_3102,east,3102,opposite,west,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3102,east,3102,opposite,west,WCL_bc,8000,29,1263,1.0,1263,184.16000703735713,645.9140038766384,1696.0791615769124,0.2842438638163104,
geo_east_3102,east,3102,opposite,west,ABS_mean,8000,29,1263,1.0,1263,651.9843324747136,869.5086135586522,2093.7184971926404,0.36342042755344417,
geo_east_3102,east,3102,opposite,west,DIFF_median,8000,29,1263,1.0,1263,549.8163939941353,1198.2736827057659,3317.403762538526,0.4180522565320665,
geo_east_3102,east,3102,opposite,west,MinMax,8000,29,1263,1.0,1263,344.258417007924,558.1075491300592,1282.033935130606,0.2042755344418052,
geo_west_3102,west,3102,citywide,citywide,FP_k3,8000,29,1232,0.9886363636363636,1218,309.50570447983193,428.5451887880573,894.4868165648649,0.0755336617405583,2.9079190566322786
geo_west_3102,west,3102,citywide,citywide,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3102,west,3102,citywide,citywide,WCL_bc,8000,29,1232,0.9886363636363636,1218,779.2693756793049,888.849389971687,1553.2898806551827,0.3399014778325123,
geo_west_3102,west,3102,citywide,citywide,ABS_mean,8000,29,1232,0.9886363636363636,1218,614.0091526671658,766.4751111040916,1443.4176211055737,0.22742200328407225,
geo_west_3102,west,3102,citywide,citywide,DIFF_median,8000,29,1232,0.9886363636363636,1218,1469.2022483403157,1717.858766023963,3559.4226265201214,0.6395730706075534,
geo_west_3102,west,3102,citywide,citywide,MinMax,8000,29,1232,0.9886363636363636,1218,568.9487713470724,699.8047261712082,1335.2594639287877,0.21018062397372742,
geo_west_3102,west,3102,opposite,east,FP_k3,8000,29,1232,0.9886363636363636,1218,1125.263958684161,1320.4584487892491,2098.068230752683,0.6174055829228243,747.6722403580271
geo_west_3102,west,3102,opposite,east,WCL_raw,8000,29,1232,0.9886363636363636,1218,631.2496610290386,791.946349183358,1630.8857770113273,0.2684729064039409,
geo_west_3102,west,3102,opposite,east,WCL_bc,8000,29,1232,0.9886363636363636,1218,841.134785038798,936.1261605188332,1593.9311183872546,0.38095238095238093,
geo_west_3102,west,3102,opposite,east,ABS_mean,8000,29,1232,0.9886363636363636,1218,864.7624032662145,1008.6030594699705,1712.7818851241566,0.3784893267651888,
geo_west_3102,west,3102,opposite,east,DIFF_median,8000,29,1232,0.9886363636363636,1218,1325.895262984353,1607.6817612503498,3211.9311170538563,0.6379310344827587,
geo_west_3102,west,3102,opposite,east,MinMax,8000,29,1232,0.9886363636363636,1218,689.1836066227452,804.8667952900178,1509.3751033275105,0.23891625615763548,
geo_east_3103,east,3103,citywide,citywide,FP_k3,8000,29,1263,1.0,1263,50.7562468204288,266.68705717446846,813.7843220389168,0.06967537608867776,0.5394955907630411
geo_east_3103,east,3103,citywide,citywide,WCL_raw,8000,29,1263,1.0,1263,246.69723339514746,526.6908953588065,1348.7592834333218,0.18448139350752177,
geo_east_3103,east,3103,citywide,citywide,WCL_bc,8000,29,1263,1.0,1263,170.41339045528815,576.5711267637369,1590.8996353648254,0.24386381631037213,
geo_east_3103,east,3103,citywide,citywide,ABS_mean,8000,29,1263,1.0,1263,284.3108205843181,584.7620824715499,1517.75546396381,0.2161520190023753,
