experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
primary33,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,3619.222155773533,480.087194862526,3139.134960911007,7.53867671227912,3074.1299447586666,3203.726504697865,7.1576924665239705,7.980533108907765,0.9867735470941884,0,0
primary33,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,paired_messages,2495,6000,2495,2495,2495,3105.1960755807986,584.7477072723235,2520.448368308475,5.310317658303659,2366.0886740598517,2626.610824125875,4.9778620144623416,5.642206455935701,0.9779559118236473,0,0
primary33,assignment:ABS_mean,rssfit_stable:ABS_mean,official:ABS_mean,paired_messages,2495,6000,2495,2495,2495,1243.1145988887747,527.7528095639876,715.3617893247871,2.3554864632853323,674.344054775657,785.9615694339271,2.249950912388089,2.5047061713866596,0.8100200400801604,0,0
primary33,assignment:DIFF_median,rssfit_stable:DIFF_median,official:DIFF_median,paired_messages,2495,6000,2495,2495,2495,1611.1747361540067,999.9148450881116,611.2598910658951,1.611311947280902,521.7583528822232,696.2020112450457,1.496476395952909,1.72553451093654,0.7058116232464929,0,0
primary33,assignment:HYBRID_mean,rssfit_stable:HYBRID_mean,official:HYBRID_mean,paired_messages,2495,6000,2495,2495,2495,1225.798663132137,576.2585578497786,649.5401052823585,2.127167824988177,595.6512571933333,697.9840443504299,1.989885943561376,2.262720744593005,0.7783567134268538,0,0
primary33,assignment:NLLS,rssfit_stable:NLLS,official:NLLS,paired_messages,2495,6000,2495,2495,2495,1201.8578931852549,524.8659538174048,676.99193936785,2.289837785141172,619.1690499858241,727.2126498571013,2.1599662489024727,2.411543287725513,0.8048096192384769,0,0
primary33,assignment:Trilat,rssfit_stable:Trilat,official:Trilat,paired_messages,2495,6000,2495,2495,2495,1708.859917853748,585.0264617546227,1123.8334560991252,2.9209959370530045,1028.0758748117946,1208.6842768286544,2.717349073839095,3.1208122399111993,0.7779559118236473,0,0
primary33,assignment:MinMax,rssfit_stable:MinMax,official:MinMax,paired_messages,2495,6000,2495,2495,2495,2078.502466169818,467.635802988949,1610.866663180869,4.444703448463154,1516.5111554034338,1759.4194337830966,4.188014042174192,4.813715156118384,0.9214428857715431,0,0
primary33,official_vs_raw:WCL_bc,official:WCL_bc,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,584.7477072723235,480.087194862526,104.66051240979749,1.2180031326179555,76.90048859017875,130.76303148601335,1.1574714551014051,1.2768811268173466,0.47935871743486974,0,0
primary33,official_vs_raw:ABS_mean,official:ABS_mean,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,527.7528095639876,480.087194862526,47.66561470146161,1.0992853281894153,16.509178186912685,76.6033887205831,1.0333356269456118,1.1671783084056098,0.4713426853707415,0,6
primary33,official_vs_raw:DIFF_median,official:DIFF_median,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,999.9148450881116,480.087194862526,519.8276502255856,2.0827775782989573,459.1350065919328,585.6314514010849,1.941319571732664,2.237125177123481,0.6376753507014028,0,0
primary33,official_vs_raw:HYBRID_mean,official:HYBRID_mean,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,576.2585578497786,480.087194862526,96.17136298725262,1.200320616788772,58.69027947743819,132.90977154489735,1.1188277529791983,1.2844249157125207,0.4917835671342685,0,0
primary33,official_vs_raw:NLLS,official:NLLS,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,524.8659538174048,480.087194862526,44.77875895487881,1.093272137715944,14.94962785062604,74.6163529913124,1.0299736108468325,1.1608740837500064,0.501002004008016,0,12
primary33,official_vs_raw:Trilat,official:Trilat,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,585.0264617546227,480.087194862526,104.93926689209667,1.218583765647293,70.95230651252318,137.75173813459045,1.1437396529151307,1.2946861146913713,0.5959919839679358,0,0
primary33,official_vs_raw:MinMax,official:MinMax,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,467.635802988949,480.087194862526,-12.451391873576995,0.9740643116358426,-39.98360980619659,13.194934600324599,0.9186886123314665,1.0284283817749142,0.3751503006012024,0,5178
primary33,official_vs_raw:FP_k3,coordinate_independent:FP_k3,official:WCL_raw,paired_messages,2495,6000,2495,2495,2495,219.29225647763056,480.087194862526,-260.79493838489543,0.45677589159699494,-284.30412013035266,-234.38810337771767,0.42849598753830653,0.4890628648089422,0.1871743486973948,0,6000
primary33,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,spatial_500m,2495,6000,107,974,5800,3619.222155773533,480.087194862526,3139.134960911007,7.53867671227912,1081.7747530757877,3418.070928361854,5.193236953812923,10.145912411588515,0.9867735470941884,0,0
primary33,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,spatial_500m,2495,6000,107,974,5800,3105.1960755807986,584.7477072723235,2520.448368308475,5.310317658303659,644.80737267359,2955.8027812328105,3.8642369218368304,7.143168509332171,0.9779559118236473,0,0
