bs,eui,catalogue_present,calibration_identity_available,calibration_receptions,legacy_roster,legacy_identity_matches,legacy_direct_coordinate_matches
1,FF010714,True,True,2781,True,True,True
2,FF01072B,True,True,4657,True,True,True
3,FF010877,True,True,1065,True,True,True
4,080E0149,True,True,3191,True,True,True
5,FF010560,True,True,3548,True,True,True
6,FF010721,True,True,1725,True,True,True
7,080605EE,True,True,1597,True,True,True
9,FF01085B,True,True,5024,True,True,True
10,080E00B9,True,True,4027,True,True,True
11,FF01052A,True,True,3572,True,True,True
12,08060622,True,True,1631,True,True,True
14,FF0107C9,True,True,7013,True,True,True
15,FF01099B,True,True,607,True,True,True
16,FF010581,True,True,361,True,True,True
17,FF010739,True,True,1505,True,True,True
18,FF0178DF,True,True,3219,True,True,True
19,FF010667,True,True,1708,True,True,True
20,FF010595,True,True,3120,True,True,True
22,FF010628,True,True,1749,True,True,True
23,FF0105CB,True,True,336,True,True,True
25,080E0116,True,True,1209,True,True,True
27,08060716,True,True,5680,True,True,True
31,FF010EFE,True,True,1545,True,True,True
32,FF0108A3,True,True,5177,True,True,True
33,FF01060B,True,True,69,True,True,True
34,FF010719,True,True,922,True,True,True
35,004A05D4,False,True,66,False,,
37,FF010639,True,True,366,True,True,True
41,004A0DA4,False,True,30,False,,
43,FF0107BB,True,True,10,False,,
44,FF0105C2,True,True,46,True,True,True
47,C0000209,False,True,6,False,,
48,FF010605,True,True,91,True,True,True
49,004A0D9C,False,False,0,False,,
50,FF010957,True,True,90,True,True,True
52,FF010894,True,True,17,False,,
53,C000028C,False,True,1,False,,
55,FF0105B5,True,True,1,False,,
59,FF010930,True,True,4,False,,
60,FF010603,True,False,0,False,,
69,FF01753E,True,True,6211,True,True,True
70,FF017649,True,True,945,True,True,True
71,004A026B,True,True,58,True,True,True
72,FF01031C,True,False,0,False,,
