bs,calibration_links,official33,rssfit41,official_a0,rssfit_a0
1,2781,True,True,44.129419517877494,66.36808481041697
2,4657,True,True,26.39299694359292,65.10901312457034
3,1065,True,True,49.384286769544076,69.23802066463779
4,3191,True,True,42.15771221779485,57.7585815518533
5,3548,True,True,48.719055810157485,64.60751325355076
6,1725,True,True,55.47220116119513,62.12407302220052
7,1597,True,True,41.60320691391624,53.52986352545986
9,5024,True,True,33.065837759655594,60.57868195315709
10,4027,True,True,5.067976471990548,43.22454487908266
11,3572,True,True,50.11282424121836,63.09915078584943
12,1631,True,True,18.35718601724426,55.006842096066435
14,7013,True,True,33.59250659520822,61.33669585781175
15,607,True,True,55.16659654766664,59.94180498701857
16,361,True,True,63.97598449839208,64.12697059281442
17,1505,True,True,37.65095512145723,59.61023370577834
18,3219,True,True,28.741129273025592,51.50415129855145
19,1708,True,True,43.41910685216091,66.47131126925322
20,3120,True,True,21.424987087514424,57.584442512410405
22,1749,True,True,53.314308166607276,60.99421732137799
23,336,True,True,62.08204716158798,60.12572735760676
25,1209,True,True,35.28054314477771,57.30331725351965
27,5680,True,True,31.162651821101676,60.7417940075145
31,1545,True,True,55.5000885900522,48.354631616220956
32,5177,True,True,31.094820007532718,53.95856819848109
33,69,True,True,68.14586670043991,42.09049508869404
34,922,True,True,62.845825816639945,54.71407151375614
35,66,False,True,,49.190989697526135
37,366,True,True,58.618834763474624,60.107425096906084
41,30,False,True,,48.491063085179476
43,10,False,True,,23.98418239928141
44,46,True,True,76.92923642070437,52.71242651407579
47,6,False,True,,
48,91,True,True,57.38494788268136,59.988944089494595
50,90,True,True,18.146910431437874,71.42718326113977
52,17,False,True,,44.21705837016748
53,1,False,True,,
55,1,False,True,,
59,4,False,True,,
69,6211,True,True,26.07647502752846,64.94667207011182
70,945,True,True,48.4527696219304,62.69458481856054
71,58,True,True,110.50205508417095,43.681566454908264
