working_index0,csv_row_index0,x,y,rx_time,selected_receivers,official_error_m,rssfit_stable_error_m,rssfit_prior_default_error_m,official_x,official_y,rssfit_x,rssfit_y
21726,50998,598140.6718246009,5673444.245543461,2019-01-09T11:46:34.713930803+01:00,69;27;32,453.57395620822774,5720.029401521655,5720.028793149137,598199.7333333335,5672994.533333335,601551.854215289,5678035.821640155
32976,77790,597838.7280738152,5673885.324558432,2019-01-21T10:42:51.825+01:00,27;18;32,279.8797940855744,5817.880905152396,5817.86312109631,597688.0493599032,5673649.467346732,601485.988385984,5678418.009242129
36626,86313,598918.0075649035,5674812.85051245,2019-01-17T09:58:22.240+01:00,9;2;12,722.1036499073408,3613.525779791784,3613.525779791784,599557.9815346033,5674478.385268641,602434.1112762948,5675646.267126131
18102,42378,599148.5973602016,5672402.725345328,2019-01-15T11:57:19.528+01:00,2;10;69,409.8599463788576,3178.8964458893074,3179.075825695985,599543.6404730841,5672511.932096996,601930.6226048864,5670864.636221895
44150,104375,598558.3914615853,5674491.486448407,2019-01-03T08:12:36.468+01:00,27;14;32;18,582.7565045481796,3824.2242317563505,3824.674840271561,598025.2890098593,5674256.099703757,601759.2740939682,5676584.102358808
37882,89515,600509.4318636762,5676258.157596693,2019-01-17T10:07:32.960+01:00,11;7;37;5;6;1,970.7892373145162,2616.8786245899,2616.8786245899,601141.5859703113,5676994.915989079,602277.8099366927,5678187.119163628
10112,23604,599126.1061032455,5672371.313465849,2019-02-04T18:40:18.824+01:00,10;2;69,231.24038632168256,1523.9963297027205,1524.3866147600722,599305.081525621,5672517.737215465,600650.0716052402,5672361.620082674
45090,106539,598368.5096529303,5674719.964965132,2019-01-23T15:54:53.35436380+01:00,32;14;27,354.6826401770578,3493.9865478543907,3493.9925044827582,598084.7776112502,5674932.793308562,601862.4049049616,5674745.222922705
32370,76343,598384.4928312676,5676533.958085274,2019-02-05T07:18:04.124390809+01:00,32;5;14;9;34,1017.6386705739942,4089.4172109142132,4089.3967539894875,597452.0078594108,5676126.453188238,602471.4502503581,5676392.1406693375
5406,12524,598379.4009448411,5676745.6131626135,2019-01-08T08:21:10.952688246+01:00,5;32;6;4,1487.3629181207143,4580.969463331307,4580.968946609541,597316.3101751585,5677785.847014022,602813.5333613658,5677896.156919582
24242,57044,598802.3697826031,5676331.934098925,2019-01-09T16:10:25.043+01:00,4;17;9;11,1137.2869679141743,4881.229735740261,4882.397273249138,599938.5678631903,5676381.689189694,603339.5547612233,5678132.033041445
34864,82148,599921.2912689515,5676379.916762552,2019-01-11T09:06:11.513511638+01:00,37;9;14;7,1205.360094043203,958.3185631748546,958.7806930355804,601096.2207892918,5676110.781892004,600669.4952000456,5676978.720024084
50857,119939,596255.1226936622,5676428.634106503,2019-01-23T12:41:33.40284886+01:00,11;5;15;6;19,1132.7894910983441,3775.483294719963,3775.6518048969197,597271.7461837549,5676928.322720076,599980.9540394354,5677038.9249319
36069,84994,598306.6196857534,5674705.624255865,2019-01-31T16:24:29.507173280+01:00,14;32;27,269.4985067831402,3754.884688396532,3754.9214241563,598215.9217232814,5674959.402357288,602059.8341229178,5674817.608236035
53334,125605,597429.6278095094,5673723.929970681,2019-01-23T09:39:52.204+01:00,27;18;69,286.21159234758426,6463.753028123919,6463.74559500159,597697.0309002242,5673621.887515446,601589.3646955341,5678671.322440217
18060,42287,599131.0764709028,5672414.269056286,2019-01-07T20:06:10.198+01:00,10;2;69,102.73422726940507,686.8912019976742,686.1653920852805,599205.4199928108,5672485.172950417,598906.2669943302,5673063.330087796
20162,47289,597441.1453098619,5673738.576435615,2019-01-15T09:54:10.244811930+01:00,18;69;32,474.5507846565595,1853.945423534693,1853.8293611046759,597580.80888341,5673285.043048264,597781.8137687334,5671916.199242339
19067,44636,599149.7202671522,5672398.079135866,2019-01-03T10:46:57.983+01:00,10;2;69;1,172.31556983941547,808.6622634977603,808.8845790088113,599299.9841968807,5672482.420152172,599791.3720213394,5672890.235292745
40111,94767,597685.0091459334,5674318.629821683,2019-01-15T08:33:36.010+01:00,27;32;19,382.234770747305,4799.651319461168,4799.650260250502,597564.8070737444,5673955.787043321,600812.5761659397,5677959.36839013
18897,44269,599133.8155291763,5672410.502741688,2019-01-10T19:04:14.704+01:00,10;2;69;1,113.58362996605807,619.572352897471,618.9160044740505,599220.7351830351,5672483.620555997,598987.8857465702,5673012.644252484
12249,28668,599127.6802103554,5672370.919490905,2019-02-04T17:46:04.885+01:00,2;10;69,319.898724460673,2407.3623411776916,2407.6311099440363,599409.823211982,5672521.6859346,601436.7901983018,5671690.181284773
11915,27879,597964.1592455031,5675654.2929396825,2019-01-02T18:04:57.19808075+01:00,5;14;20,751.98588797303,4496.406831243364,4496.431778550727,597797.6693054115,5676387.616794169,602458.5451415001,5675789.088376978
18887,44244,599132.9831681694,5672412.1840896085,2019-01-08T09:03:27.449+01:00,10;2;69,98.52520014618085,743.2832546205153,742.5177031696926,599199.7748009769,5672484.61400643,598851.907711721,5673100.273171328
48128,113558,598162.3603073201,5674864.541464955,2019-01-17T14:36:20.272379539+01:00,32;14;27,130.0463143949549,3782.1247543314153,3782.058211869409,598143.7901646801,5674993.255076084,601935.727949387,5674607.317253169
17387,40713,596233.9874771438,5676452.849781804,2019-01-30T12:54:51.373638062+01:00,5;6;11;14;15;19;32,1091.5403569367772,5215.72536058398,5215.857306891671,597165.3645548192,5677022.057204456,601399.8889552499,5677172.052782034
48258,113885,599440.3505182797,5676965.519865218,2019-01-31T10:27:26.227594751+01:00,9;11;5;6;14;17;70;4;7,414.2685194811086,4035.845441765011,4036.117546526341,599533.5977554533,5676561.882207172,603353.5005256913,5677953.095406283
33123,78108,593597.5643697011,5674292.546438209,2019-02-01T15:55:06.830661778+01:00,15;19;50,278.9664571358584,2481.7721879189844,2482.2555837318605,593598.4300696922,5674013.581324314,595637.7029122338,5672879.384055465
29012,68315,597077.6281153854,5673482.597494564,2018-12-31T10:15:23.130267134+01:00,18;27;69;15;19;1;25,274.68480298666174,1650.8144064374853,1650.5764498813867,597301.4289865032,5673323.333841841,598447.061217095,5674404.465806441
41627,98329,599025.8052358874,5673633.527258655,2019-01-16T09:11:30.487+01:00,2;32;17;69;1;27,755.7593667750638,3632.2344507698363,3631.914861348722,599437.3384493812,5672999.640332887,602553.7174502204,5672769.257327835
29553,69610,598675.1705511169,5676394.836456673,2019-01-12T11:28:52.922955583+01:00,14;9;11;5;20;6;32;4,119.88041787001448,4148.211483754252,4148.224029173102,598791.0406677154,5676364.088600355,602822.8733125752,5676459.800420087
6861,15931,599014.9153006056,5675570.919421419,2019-02-04T08:11:33.411481116+01:00,9;11;14;32;2;4,548.2371162069411,4224.099257542917,4224.233174307021,599521.9327884627,5675779.479251189,603094.7331222733,5676665.497458644
35786,84335,599130.3669132178,5672409.5874773655,2019-01-05T14:29:56.802+01:00,10;11;69,114.0059331330982,773.7571324602674,772.984408957937,599203.4752418966,5672497.0661894465,598833.9510690194,5673124.316620007
40201,94977,597814.9518700186,5673923.063077312,2019-01-15T09:22:03.196+01:00,27;14;69,262.61925279444233,6102.899204208068,6102.976706060679,597747.6595522811,5673669.21151456,601698.0029031404,5678631.278596051
20845,48900,599134.0148635621,5672408.809176247,2019-01-04T16:48:11.491+01:00,10;69;2;1,100.7937652764892,765.8286937895575,765.059645581012,599202.0474163693,5672483.179566034,598842.7851712087,5673117.102092012
70,154,598374.2903280125,5676857.544673401,2019-02-04T11:22:01.648575881+01:00,11;34;20,1060.4324253902632,4874.406115874146,4874.406115874146,599033.2117326368,5677688.411396376,602968.6013131948,5678486.084373225
15522,36291,599101.3528361423,5672424.304310804,2019-02-02T13:39:53.622+01:00,10;69;2,100.549409374074,826.8936373330096,826.3769642509723,599172.3532739101,5672495.502074549,599057.8265793688,5673250.0515799085
51505,121464,599135.3879197922,5672405.0164983375,2019-02-05T09:58:50.906+01:00,10;2;69,115.8478587585082,588.1617731985551,587.6221644047281,599215.6808026744,5672488.525655544,599085.8031407972,5672991.08443053
20741,48644,598784.2903302978,5673507.085562152,2018-12-31T09:37:07.443+01:00,69;2;18;1;27,770.5741675246691,2961.992156635209,2961.8593534259358,598856.7465014358,5672739.9254413685,601242.7585523055,5675159.154427952
34988,82444,599583.3788145942,5673404.975065225,2019-01-03T10:53:36.569+01:00,2;1;27,883.5205219054187,3365.220856486289,3365.220856486289,599703.5143699113,5672529.660287001,602755.7885962732,5672282.242866507
36034,84919,597366.6064779939,5674868.05484032,2019-01-24T08:38:24.11694708+01:00,19;23;18,2966.483878408573,2777.8106087932906,2777.861543196305,594672.2592118029,5673626.8782171,594795.6521088044,5673816.187258411
