receiver,calibration_arm,observations,intercept,in_both_calibration_arms
1,early,2640,44.10818518112103,True
1,interleaved,2848,44.17636824270693,True
2,early,4995,26.50075319912102,True
2,interleaved,4661,26.390982714639478,True
3,early,976,52.25468565765671,True
3,interleaved,1012,49.59148686336988,True
4,early,3482,42.28876012633269,True
4,interleaved,3144,42.15176151047807,True
5,early,3939,48.91543711769333,True
5,interleaved,3552,48.60213734334171,True
6,early,2032,55.52339630583808,True
6,interleaved,1748,55.58403330129262,True
7,early,1316,42.936840555513356,True
7,interleaved,1591,41.32202415376554,True
9,early,4973,33.86244419265847,True
9,interleaved,5122,32.866463700529806,True
10,early,4624,5.2911246592795536,True
10,interleaved,4037,4.973641513736382,True
11,early,3875,51.107225267800004,True
11,interleaved,3498,50.16697957366654,True
12,early,1453,18.643427043180836,True
12,interleaved,1683,18.523486593054344,True
14,early,7055,34.1483552473162,True
14,interleaved,7019,33.37387076412432,True
15,early,473,56.84910597936627,True
15,interleaved,672,55.05590071293783,True
16,early,597,64.02312631444289,True
16,interleaved,375,63.99114793992152,True
17,early,1098,39.90552908077176,True
17,interleaved,1477,36.88347417924129,True
18,early,3156,29.2855448018163,True
18,interleaved,3198,28.780449089444048,True
19,early,1565,43.75785353494783,True
19,interleaved,1711,43.431364950304186,True
20,early,3174,21.76163582205949,True
20,interleaved,3039,21.455922849983494,True
22,early,2026,53.139939283286296,True
22,interleaved,1724,53.38762686758395,True
23,early,313,62.09883871399842,True
23,interleaved,354,62.1502618980993,True
25,early,1022,33.79937180476597,True
25,interleaved,1208,35.16356719448288,True
27,early,5904,32.15073301637622,True
27,interleaved,5782,31.344998820349986,True
31,early,1428,57.54990979959551,True
31,interleaved,1485,55.977147978253186,True
32,early,5237,30.588076423584283,True
32,interleaved,5188,31.397763045665684,True
33,early,122,68.63993868261116,True
33,interleaved,74,68.15916938338975,True
34,early,1330,63.134148659372386,True
34,interleaved,932,62.97084995240802,True
37,early,285,58.146948581719954,True
37,interleaved,373,58.75957450951503,True
44,early,48,77.03197711044398,True
44,interleaved,50,76.93718648369793,True
48,early,44,57.23415443827595,True
48,interleaved,108,57.186440634025814,True
50,early,12,51.2169422462989,True
50,interleaved,102,20.12895175123343,True
69,early,6727,26.921065726806034,True
69,interleaved,6225,26.089442301149063,True
70,early,635,52.265589990196474,True
70,interleaved,957,49.032620616442415,True
71,early,33,110.49138868744421,True
71,interleaved,61,110.45624630511682,True
