experiment,calibration_arm,method,n,median_m,p90_m,p95_m,over_1km_fraction
legacy_position_time_recovered29,early,WCL_raw,1172,957.3810919587394,9380.845142026137,14105.532632653092,0.4863481228668942
legacy_position_time_recovered29,early,WCL_bc,1172,655.0383196301002,1698.475740459564,2013.3184950359528,0.3378839590443686
legacy_position_time_recovered29,early,ABS_mean,1172,775.0251821225081,1919.6830918792707,2383.879899877271,0.3464163822525597
legacy_position_time_recovered29,early,DIFF_median,1172,1165.4073328889779,2995.88423342463,3761.504211277077,0.5656996587030717
legacy_position_time_recovered29,early,MinMax,1172,503.5814616961189,1632.4207195647118,2261.1886160924396,0.2158703071672355
legacy_position_time_recovered29,interleaved,WCL_raw,1172,957.3810919587394,9380.845142026137,14105.532632653092,0.4863481228668942
legacy_position_time_recovered29,interleaved,WCL_bc,1172,664.3277219628048,1669.519657959393,2017.6867885145489,0.3293515358361775
legacy_position_time_recovered29,interleaved,ABS_mean,1172,726.0666956203435,1823.356689073004,2252.2229264120533,0.30716723549488056
legacy_position_time_recovered29,interleaved,DIFF_median,1172,1076.0525283384004,2847.0495644710595,3425.630971695854,0.5392491467576792
legacy_position_time_recovered29,interleaved,MinMax,1172,499.40896765413675,1603.4523540536927,2213.415686004625,0.21331058020477817
timestamp_only_recovered29,early,WCL_raw,1174,918.3221401519311,8108.820544809754,12536.43149448187,0.4752981260647359
timestamp_only_recovered29,early,WCL_bc,1174,661.1855607821601,1733.4323966131815,2050.155387702628,0.3074957410562181
timestamp_only_recovered29,early,ABS_mean,1174,773.8648751227898,1880.2841512738048,2328.971545936076,0.35008517887563884
timestamp_only_recovered29,early,DIFF_median,1174,1167.4412101523737,3082.8696300520423,3738.1143932104724,0.5621805792163543
timestamp_only_recovered29,early,MinMax,1174,505.902712941097,1473.4211248473841,2242.6877312537745,0.19080068143100512
timestamp_only_recovered29,interleaved,WCL_raw,1174,918.3221401519311,8108.820544809754,12536.43149448187,0.4752981260647359
timestamp_only_recovered29,interleaved,WCL_bc,1174,642.5661495911675,1698.5650294353645,2035.351985554903,0.30068143100511074
timestamp_only_recovered29,interleaved,ABS_mean,1174,725.3407166264528,1728.5326886912474,2181.41860832668,0.29557069846678025
timestamp_only_recovered29,interleaved,DIFF_median,1174,1094.8531891970772,2958.7812049964004,3625.8294869174665,0.5434412265758092
timestamp_only_recovered29,interleaved,MinMax,1174,483.4417065062168,1431.0305989953183,2100.9621283629685,0.1890971039182283
temporal_official_matched,early,WCL_raw,1198,498.4335259021162,1483.5888894492016,1843.9931693090257,0.2262103505843072
temporal_official_matched,early,WCL_bc,1198,615.2264918436292,1627.2381410256385,2010.5017875498024,0.2913188647746244
temporal_official_matched,early,ABS_mean,1198,606.2445832701458,1835.9932444995636,2231.5277551674812,0.2863105175292154
temporal_official_matched,early,DIFF_median,1198,1161.1902930512806,3480.9450726352816,4065.4735855398276,0.5409015025041736
temporal_official_matched,early,MinMax,1198,473.7517721326449,1356.2444981853944,1836.5270197238367,0.1911519198664441
temporal_official_matched,interleaved,WCL_raw,1198,498.4335259021162,1483.5888894492016,1843.9931693090257,0.2262103505843072
temporal_official_matched,interleaved,WCL_bc,1198,615.2570668957289,1590.9300280143987,1936.384143566663,0.28297161936560933
temporal_official_matched,interleaved,ABS_mean,1198,595.0667867535468,1637.0714167293286,1966.830276043786,0.2604340567612688
temporal_official_matched,interleaved,DIFF_median,1198,1159.1609147737138,3504.938659782328,4084.3475418192897,0.5383973288814691
temporal_official_matched,interleaved,MinMax,1198,467.0981921418356,1300.9375344190682,1795.2071148713592,0.19198664440734559
temporal_official_no71,early,WCL_raw,1198,496.7240590752289,1469.158315301338,1770.766604941229,0.22454090150250416
temporal_official_no71,early,WCL_bc,1198,615.2264918436292,1627.2381410256385,2010.5017875498024,0.2913188647746244
temporal_official_no71,early,ABS_mean,1198,606.2445832701458,1835.9932444995636,2231.5277551674812,0.2863105175292154
temporal_official_no71,early,DIFF_median,1198,1165.4559408170555,3480.9450726352816,4065.4735855398276,0.5425709515859767
temporal_official_no71,early,MinMax,1198,473.7517721326449,1343.1876827843998,1836.5270197238367,0.19031719532554256
temporal_official_no71,interleaved,WCL_raw,1198,496.7240590752289,1469.158315301338,1770.766604941229,0.22454090150250416
temporal_official_no71,interleaved,WCL_bc,1198,615.2570668957289,1590.9300280143987,1936.384143566663,0.28297161936560933
temporal_official_no71,interleaved,ABS_mean,1198,595.0667867535468,1637.0714167293286,1966.830276043786,0.2604340567612688
temporal_official_no71,interleaved,DIFF_median,1198,1163.069434846662,3504.938659782328,4084.3475418192897,0.5409015025041736
temporal_official_no71,interleaved,MinMax,1198,467.0981921418356,1299.021504677246,1795.2071148713592,0.1911519198664441
