experiment,queries,database_records,median_nearest_geographic_distance_m,max_saved_difference_m
primary33,2495,8000,1.578056673332023,5.684341886080802e-14
no71,2493,8000,1.578056673332023,5.684341886080802e-14
geo_east_3101_citywide,1263,8000,0.5998224067833686,2.842170943040401e-14
geo_east_3101_opposite,1263,8000,487.00710727798145,4.547473508864641e-13
geo_west_3101_citywide,1218,8000,2.970024528606161,2.842170943040401e-14
geo_west_3101_opposite,1218,8000,744.5549480429429,9.094947017729282e-13
geo_east_3102_citywide,1263,8000,0.5394947270799528,2.842170943040401e-14
geo_east_3102_opposite,1263,8000,487.00710727798145,4.547473508864641e-13
geo_west_3102_citywide,1218,8000,2.9079190566322786,2.842170943040401e-14
geo_west_3102_opposite,1218,8000,747.6722403580271,4.547473508864641e-13
geo_east_3103_citywide,1263,8000,0.5394955907630411,2.842170943040401e-14
geo_east_3103_opposite,1263,8000,487.00710727798145,4.547473508864641e-13
geo_west_3103_citywide,1218,8000,2.7740630694307336,2.842170943040401e-14
geo_west_3103_opposite,1218,8000,743.1543584508155,9.094947017729282e-13
