experiment,draw_index0,retained_receivers,method,parent_n,coverage_fraction,n_ineligible,full_parent_median_m,full_survivor_median_m,removal_component_m,selection_component_m,total_displayed_change_m,n,median_m,mean_m,p90_m,over_1km_fraction,FP_all_parent_median_m
removal_23_0,0,23,FP_k3,2495,0.6717434869739479,819,219.29225647763056,162.61331358674732,-7.983549942778126,-56.67894289088324,-64.66249283366136,1676,154.6297636439692,325.9194902670088,910.1256626235374,0.0835322195704057,259.1259580520761
removal_23_0,0,23,MinMax,2495,0.6717434869739479,819,467.635802988949,451.531910295162,37.151947574449935,-16.10389269378703,21.048054880662903,1676,488.6838578696119,642.6087460629788,1465.3218869616985,0.2446300715990453,
removal_23_1,1,23,FP_k3,2495,0.5507014028056112,1121,219.29225647763056,274.3941144952058,37.92615384427916,55.10185801757527,93.02801186185442,1374,312.320268339485,449.149900998668,1072.718873644825,0.1171761280931586,260.8502877082564
removal_23_1,1,23,MinMax,2495,0.5507014028056112,1121,467.635802988949,593.2686389006969,-32.88800642027218,125.63283591174792,92.74482949147574,1374,560.3806324804248,657.7626531872606,1304.3649877586636,0.1994177583697234,
removal_23_2,2,23,FP_k3,2495,0.4981963927855711,1252,219.29225647763056,316.64453179623695,41.64502535335771,97.3522753186064,138.9973006719641,1243,358.28955714959466,483.49128643485153,1064.1631688471257,0.1166532582461786,285.29348130686026
removal_23_2,2,23,MinMax,2495,0.4981963927855711,1252,467.635802988949,665.0595231517455,133.6010152929847,197.42372016279643,331.0247354557811,1243,798.6605384447302,896.9499673039913,1650.2166646538678,0.3692679002413516,
removal_23_3,3,23,FP_k3,2495,0.5763527054108216,1057,219.29225647763056,322.18812886323065,33.04965303278743,102.89587238560009,135.94552541838752,1438,355.2377818960181,489.4771840274185,1057.0941949829096,0.1147426981919332,296.68487096080094
removal_23_3,3,23,MinMax,2495,0.5763527054108216,1057,467.635802988949,641.0176051505903,-42.47531417794676,173.38180216164125,130.9064879836945,1438,598.5422909726435,720.5724047709917,1431.6010665066387,0.2413073713490959,
removal_23_4,4,23,FP_k3,2495,0.7198396793587174,699,219.29225647763056,199.4404237267457,-0.0842826828761644,-19.851832750884824,-19.93611543376099,1796,199.3561410438696,325.18217918806164,808.8206521476462,0.0690423162583518,238.79637883964608
removal_23_4,4,23,MinMax,2495,0.7198396793587174,699,467.635802988949,470.9532095479391,-16.818645125004196,3.317406558990058,-13.501238566014138,1796,454.1345644229349,578.061717877069,1245.5396499553317,0.193207126948775,
removal_23_5,5,23,FP_k3,2495,0.3895791583166332,1523,219.29225647763056,252.54918886455675,24.34225994285245,33.25693238692617,57.59919232977862,972,276.8914488074092,406.22562988554864,984.2849489462347,0.0967078189300411,321.5034816648067
removal_23_5,5,23,MinMax,2495,0.3895791583166332,1523,467.635802988949,606.323758949471,95.31804622340394,138.68795596052195,234.0060021839259,972,701.6418051728749,835.3241265579422,1871.98083887455,0.3621399176954732,
removal_23_6,6,23,FP_k3,2495,0.3995991983967936,1498,219.29225647763056,296.560310345358,38.617647957130885,77.26805386772745,115.88570182485832,997,335.1779583024889,459.7188088683151,1063.00155196113,0.1183550651955867,301.56278278795025
removal_23_6,6,23,MinMax,2495,0.3995991983967936,1498,467.635802988949,691.9184195254946,108.89194862277157,224.2826165365456,333.1745651593172,997,800.8103681482662,907.0256852581988,1811.156934688415,0.3881644934804413,
removal_23_7,7,23,FP_k3,2495,0.4284569138276553,1426,219.29225647763056,322.3180542653988,15.268920129891567,103.02579778776824,118.29471791765982,1069,337.5869743952904,458.3987288157256,1007.2649152376227,0.1028999064546305,264.015181316649
removal_23_7,7,23,MinMax,2495,0.4284569138276553,1426,467.635802988949,664.8350333621066,-43.92755027100907,197.1992303731576,153.27168010214854,1069,620.9074830910976,766.7996047045172,1527.6721391516096,0.2637979420018709,
removal_16_0,0,16,FP_k3,2495,0.2765531062124248,1805,219.29225647763056,314.1497900679344,52.124250267305,94.85753359030386,146.98178385760886,690,366.2740403352394,497.9060744049493,1054.6597233481352,0.1144927536231884,628.6116417183216
removal_16_0,0,16,MinMax,2495,0.2765531062124248,1805,467.635802988949,681.9542306370106,4.2203346339640575,214.3184276480616,218.53876228202563,690,686.1745652709747,824.7259214857016,1620.016152072111,0.2666666666666666,
removal_16_1,1,16,FP_k3,2495,0.3847695390781563,1535,219.29225647763056,278.39878376939225,85.81147512412986,59.106527291761694,144.91800241589155,960,364.2102588935221,483.8622753285514,1076.3280663199344,0.125,428.6111231456829
removal_16_1,1,16,MinMax,2495,0.3847695390781563,1535,467.635802988949,644.4647142479665,-58.54882608162677,176.8289112590175,118.28008517739072,960,585.9158881663398,727.3286776097062,1456.8545777195998,0.2489583333333333,
removal_16_2,2,16,FP_k3,2495,0.3234468937875751,1688,219.29225647763056,334.82550295439603,15.823779210583156,115.53324647676548,131.35702568734862,807,350.6492821649792,478.5610676235114,1106.8589606899016,0.1189591078066914,399.33885815615946
removal_16_2,2,16,MinMax,2495,0.3234468937875751,1688,467.635802988949,687.3798935405879,-60.963451470430414,219.7440905516389,158.78063908120845,807,626.4164420701575,761.53180642661,1534.7463479297644,0.2701363073110285,
removal_16_3,3,16,FP_k3,2495,0.4240480961923847,1437,219.29225647763056,308.776092202767,93.818372039079,89.48383572513646,183.30220776421547,1058,402.594464241846,563.2296892802046,1265.740316113776,0.1720226843100189,312.84076290223965
removal_16_3,3,16,MinMax,2495,0.4240480961923847,1437,467.635802988949,644.4647142479665,74.48599933866592,176.8289112590175,251.31491059768345,1058,718.9507135866324,880.9339882710624,1773.6575895830674,0.3601134215500945,
removal_16_4,4,16,FP_k3,2495,0.5114228456913827,1219,219.29225647763056,59.29562148253908,16.477820383323092,-159.99663499509148,-143.5188146117684,1276,75.77344186586217,340.4950301480822,1029.4050403065926,0.1057993730407523,363.5000018001217
removal_16_4,4,16,MinMax,2495,0.5114228456913827,1219,467.635802988949,327.4109842974018,-65.00383684806462,-140.22481869154723,-205.22865553961185,1276,262.4071474493372,606.2290906177343,1546.2539422552622,0.2445141065830721,
removal_16_5,5,16,FP_k3,2495,0.3186372745490982,1700,219.29225647763056,320.48293875645845,97.84987765779846,101.1906822788279,199.04055993662635,795,418.3328164142569,609.3424923870988,1375.3375719138614,0.2012578616352201,571.6370051194689
removal_16_5,5,16,MinMax,2495,0.3186372745490982,1700,467.635802988949,715.5987703612269,319.70775665839994,247.9629673722779,567.6707240306778,795,1035.3065270196269,1107.6977091972371,2029.60080186118,0.5220125786163522,
removal_16_6,6,16,FP_k3,2495,0.3386773547094188,1650,219.29225647763056,324.3079157432278,170.2859951201366,105.01565926559724,275.30165438573385,845,494.5939108633644,649.0034874503632,1395.935724511129,0.2224852071005917,453.5339615177489
removal_16_6,6,16,MinMax,2495,0.3386773547094188,1650,467.635802988949,649.7116426679188,35.50055224131006,182.07583967896977,217.57639192027983,845,685.2121949092289,835.0940050188458,1569.3904088894335,0.3112426035502958,
removal_16_7,7,16,FP_k3,2495,0.381563126252505,1543,219.29225647763056,294.7414375069658,99.91042194683632,75.44918102933522,175.35960297617154,952,394.6518594538021,504.1481627664623,1053.7371198558312,0.1176470588235294,371.27694592763663
removal_16_7,7,16,MinMax,2495,0.381563126252505,1543,467.635802988949,637.5494461632845,85.95958518829593,169.9136431743355,255.87322836263144,952,723.5090313515805,852.7111847944416,1561.4478357123237,0.2983193277310924,
removal_10_0,0,10,FP_k3,2495,0.070941883767535,2318,219.29225647763056,242.6408130838257,86.95317276382852,23.34855660619513,110.30172937002364,177,329.5939858476542,426.2706202270502,716.9381264229128,0.0677966101694915,527.0815347231422
removal_10_0,0,10,MinMax,2495,0.070941883767535,2318,467.635802988949,711.9591976732149,-249.4299924096954,244.3233946842659,-5.106597725429481,177,462.52920526351954,618.1341515059968,1306.1840937191262,0.1864406779661017,
