bs,minimum_distance_to_any_calibration_position_m
1,1052.7678844702928
2,312.0311087516326
3,1853.4252669494717
4,1609.6133660467456
5,1307.064087110924
6,3287.462428185317
7,412.7259421394038
9,203.54309627543873
10,91.23551493743713
11,937.8473273898888
12,14.733668323557726
14,37.55359159730847
15,161.4412774154519
16,5485.7510699392615
17,275.5353982351964
18,24.75178470441552
19,50.79790081770589
20,98.30396146997982
22,3145.2767740267336
23,1134.6794009871046
25,423.5888550016586
27,20.56275045213887
31,1768.4353108679006
32,14.462680170194938
33,5778.274664661819
34,3206.3829038203303
37,2453.9101385925633
44,10890.625919252578
48,3138.1416165752107
50,130.02278446086783
69,26.486896300318648
70,973.0202186894614
71,42397.960939595585
