bs,gateway_id,in_metadata33,catalogue_available,receiver_rank0,calibration_receptions,subsampled_receptions,quantile_threshold_dbm,strong_filter_used,fit_receptions,xmin_m,xmax_m,ymin_m,ymax_m,fit_x_m,fit_y_m,fit_minimum_signed_margin_m,fit_distance_to_closed_box_m,fit_outside,fit_on_boundary,fit_within_60m_of_boundary,metadata_x_m,metadata_y_m,coordinate_discrepancy_m,metadata_minimum_signed_margin_m,metadata_distance_to_closed_box_m,metadata_outside,metadata_on_boundary,metadata_within_60m_of_boundary
1,FF010714,True,True,15,2781,2000,-115.0,True,798,593375.4910354649,603745.6759608666,5669851.46587818,5678967.772517809,603745.6759608666,5678907.772517809,0.0,0.0,False,True,True,601353.8,5671754.9,7542.19171515742,1903.4341218201444,0.0,False,False,False
2,FF01072B,True,True,7,4657,2000,-103.0,True,530,596497.7423440526,602731.826828965,5669868.016131822,5677057.762514803,602731.826828965,5669928.016131822,0.0,0.0,False,True,True,599692.9,5672508.3,3986.5951778656436,2640.283868177794,0.0,False,False,False
3,FF010877,True,True,28,1065,1065,-113.0,True,312,593373.3145495419,603578.8771992559,5670024.874645306,5678940.827406942,593373.3145495419,5678940.827406942,0.0,0.0,False,True,True,600790.2,5670486.4,11246.667620431414,461.52535469457507,0.0,False,False,False
4,080E0149,True,True,5,3191,2000,-114.0,True,563,595873.6546829483,603099.5099895446,5672487.438575651,5679034.892108071,603099.5099895446,5679034.892108071,0.0,0.0,False,True,True,599058.3,5678634.4,4061.006292561185,400.4921080702916,0.0,False,False,False
5,FF010560,True,True,10,3548,2000,-108.0,True,592,594252.6507487935,603286.0940405161,5673491.237132073,5678980.620284165,603226.0940405161,5678980.620284165,0.0,0.0,False,True,True,596677.3,5677998.7,6621.9990055536055,981.9202841650695,0.0,False,False,False
6,FF010721,True,True,11,1725,1725,-113.0,True,722,594185.711410313,603266.9968947538,5670601.066550474,5679033.634357189,603266.9968947538,5679033.634357189,0.0,0.0,False,True,True,596877.3,5680052.1,6470.355374506983,-1018.4656428107992,1018.4656428107992,True,False,False
7,080605EE,True,True,21,1597,1597,-112.0,True,418,596632.7108942543,603828.8447644523,5671187.0752996,5679021.235508013,603828.8447644523,5676271.235508013,0.0,0.0,False,True,True,601956.0,5675160.4,2177.499262364326,1872.8447644523112,0.0,False,False,False
9,FF01085B,True,True,3,5024,2000,-110.0,True,564,595889.1890568245,603286.0940405161,5672283.1532837,5679024.985928598,603286.0940405161,5677214.985928598,0.0,0.0,False,True,True,599419.4,5675384.8,4277.955508908498,3101.646716299467,0.0,False,False,False
10,080E00B9,True,True,6,4027,2000,-89.0,True,535,597099.0527948575,601153.8798646444,5670357.858669671,5674428.3933571,598816.681104775,5673099.379605399,1329.0137517005205,0.0,False,False,False,599200.3,5672483.5,725.5833137005154,1944.8933570999652,0.0,False,False,False
11,FF01052A,True,True,13,3572,2000,-110.0,True,601,594249.5957133995,603550.8808416433,5671406.934206606,5679024.0944956355,603550.8808416433,5678899.0944956355,0.0,0.0,False,True,True,601196.1,5677715.3,2635.59523069606,1308.794495635666,0.0,False,False,False
12,08060622,True,True,23,1631,1631,-112.0,True,416,596116.6781191329,603286.0940405161,5671781.615034753,5678878.266369523,600786.0940405161,5678878.266369523,0.0,0.0,False,True,True,599642.7,5675011.9,4031.890231052906,3230.284965246916,0.0,False,False,False
14,FF0107C9,True,True,0,7013,2000,-107.0,True,567,594747.924035923,602749.5608149501,5671688.299808121,5679024.985928598,602749.5608149501,5674731.206050949,0.0,0.0,False,True,True,598695.3,5675156.5,4076.506555709082,3468.2001918787137,0.0,False,False,False
15,FF01099B,True,True,19,607,607,-112.0,True,173,590559.2238088003,601366.2310505515,5670373.710097808,5678603.055126192,595554.4469562438,5670373.710097808,0.0,0.0,False,True,True,593182.1,5673676.1,4066.178690969462,2622.8761911996407,0.0,False,False,False
16,FF010581,True,True,17,361,361,-113.0,True,155,594465.2010319447,602420.940103608,5670601.066550474,5678969.874774794,602420.940103608,5672219.874774794,0.0,0.0,False,True,True,596565.6,5682254.4,11617.947504797092,-3284.5252252062783,3284.5252252062783,True,False,False
17,FF010739,True,True,24,1505,1505,-111.0,True,431,596642.7996820777,603550.8808416433,5670387.15168027,5678968.400832957,603550.8808416433,5677239.854175314,0.0,0.0,False,True,True,600665.7,5673496.1,4726.517091281064,2885.1808416433632,0.0,False,False,False
18,FF0178DF,True,True,9,3219,2000,-108.75,True,500,591993.4199362269,601250.1778068767,5670413.29049555,5677864.197161669,597113.5249191204,5671098.29049555,685.0,0.0,False,False,False,597489.6,5673202.6,2137.650803329335,2789.3095044493675,0.0,False,False,False
19,FF010667,True,True,25,1708,1708,-114.0,True,611,590559.2238088003,601611.6751695527,5670427.365581452,5678904.247985415,591059.2238088003,5677279.247985415,500.0,0.0,False,False,False,595733.0,5674981.1,5208.230798293631,3923.147985415533,0.0,False,False,False
20,FF010595,True,True,2,3120,2000,-113.0,True,737,593739.4643842209,601451.242654284,5672829.070082498,5678985.216235009,601201.242654284,5672829.070082498,0.0,0.0,False,True,True,598310.5,5675590.5,3997.735394266758,2761.429917502217,0.0,False,False,False
22,FF010628,True,True,12,1749,1749,-113.0,True,483,593165.2771858656,603207.213654103,5671653.896915453,5679033.634357189,603207.213654103,5679033.634357189,0.0,0.0,False,True,True,598152.1,5680136.1,5173.935112607903,-1102.4656428107992,1102.4656428107992,True,False,False
23,FF0105CB,True,True,31,336,336,-111.0,True,99,590714.404062632,600664.7223250023,5670783.884139135,5678408.214842022,598164.7223250023,5670783.884139135,0.0,0.0,False,True,True,593165.0,5672339.9,5236.259035455801,1556.015860865824,0.0,False,False,False
25,080E0116,True,True,18,1209,1209,-114.0,True,345,591594.2998891079,600713.1322654318,5670359.120520516,5678785.703379314,599574.6546407572,5678160.703379314,625.0,0.0,False,False,False,596470.2,5672389.9,6552.847492443389,2030.7794794840738,0.0,False,False,False
27,08060716,True,True,4,5680,2000,-110.0,True,506,593161.295614399,601720.7827688708,5670583.88745716,5678795.361710104,601660.7827688708,5678795.361710104,0.0,0.0,False,True,True,597692.9,5673639.8,6505.682916819404,3055.9125428395346,0.0,False,False,False
31,FF010EFE,True,True,22,1545,1545,-113.0,True,484,595873.1550891978,603828.8447644523,5670932.82990886,5679030.054792717,599761.9757494882,5679030.054792717,0.0,0.0,False,True,True,603267.4,5675692.6,4840.103683756067,561.4447644522879,0.0,False,False,False
32,FF0108A3,True,True,1,5177,2000,-112.0,True,640,593049.6826020448,601449.7286437321,5671573.842067459,5678968.8301935755,601449.7286437321,5674110.344260617,0.0,0.0,False,True,True,597840.9,5675025.6,3723.0816870294393,3451.7579325409606,0.0,False,False,False
33,FF01060B,True,True,20,69,69,-113.0,False,69,595866.8239981612,602697.6417015095,5674012.7105842605,5678802.561827109,597416.268979382,5678427.561827109,375.0,0.0,False,False,False,592165.5,5681084.1,5884.536510113975,-3701.3239981612423,4348.012853444725,True,False,False
34,FF010719,True,True,14,922,922,-114.0,True,245,591253.3728885168,601686.1596488669,5672049.076374394,5678968.936681185,601686.1596488669,5678968.936681185,0.0,0.0,False,True,True,592422.1,5678266.8,9290.629531782504,702.136681185104,0.0,False,False,False
35,004A05D4,False,False,32,66,66,-105.0,False,66,596019.0319659819,600491.93466965,5671806.523754792,5676415.982387884,599370.0257105059,5676100.982387884,315.0,0.0,False,False,False,,,,,,,,
37,FF010639,True,True,27,366,366,-113.0,True,129,595814.7279592969,603828.8447644523,5671483.410196237,5678800.037400032,595939.7279592969,5678800.037400032,0.0,0.0,False,True,True,604063.4,5677746.0,8191.766736520804,-234.55523554771207,234.55523554771207,True,False,False
41,004A0DA4,False,False,34,30,30,-101.25,False,30,597600.986683095,602103.0555914133,5671695.792829213,5676094.431804572,599978.0555914133,5676094.431804572,0.0,0.0,False,True,True,,,,,,,,
43,FF0107BB,False,True,36,10,10,-114.0,False,10,591487.9893031097,600664.7223250023,5672747.9885050375,5678408.214842022,595414.7223250023,5675468.214842022,2720.226336984895,0.0,False,False,False,584753.3,5678518.7,11089.246398700834,-6734.689303109655,6735.595517810804,True,False,False
44,FF0105C2,True,True,30,46,46,-115.0,False,46,595763.3185806155,600383.3328164218,5673898.155474335,5678804.595869947,600383.3328164218,5678804.595869947,0.0,0.0,False,True,True,591670.5,5686481.3,11612.28840441376,-7676.704130052589,8699.594831611272,True,False,False
47,C0000209,False,False,38,6,6,-107.25,False,6,596061.1905000552,600229.8684995997,5674022.619223404,5678083.588573181,598052.5437691736,5676462.619223404,1620.969349777326,0.0,False,False,False,,,,,,,,
48,FF010605,True,True,26,91,91,-119.0,False,91,595934.4762159069,603574.446382208,5670368.338569325,5678968.501511731,595934.4762159069,5670368.338569325,0.0,0.0,False,True,True,604714.7,5673050.4,9180.728904431691,-1140.2536177919246,1140.2536177919246,True,False,False
50,FF010957,True,True,29,90,90,-112.0,False,90,590559.2238088003,600857.6299463756,5671618.470541262,5678454.787821637,600547.6299463756,5678454.787821637,0.0,0.0,False,True,True,593121.3,5674389.6,8466.175553201077,2562.0761911997106,0.0,False,False,False
52,FF010894,False,True,35,17,17,-114.0,False,17,596081.7424667007,600441.863029428,5674424.85043907,5678568.334092539,599566.863029428,5678568.334092539,0.0,0.0,False,True,True,603720.5,5683028.4,6094.660612552926,-4460.065907461569,5535.489886514372,True,False,False
53,C000028C,False,False,40,1,1,-95.0,False,1,595894.5513363667,599894.5513363667,5673343.187380905,5677343.187380905,597894.5513363667,5675343.187380905,2000.0,0.0,False,False,False,,,,,,,,
55,FF0105B5,False,True,39,1,1,-113.0,False,1,596841.6826081033,600841.6826081033,5674201.565680538,5678201.565680538,598841.6826081033,5676201.565680538,2000.0,0.0,False,False,False,611517.8,5666566.0,15922.565060853596,-10676.117391896783,13125.598874999012,True,False,False
59,FF010930,False,True,37,4,4,-115.0,False,4,595907.0213921218,601197.0509247087,5674330.468945306,5678494.0057872,595907.0213921218,5674330.468945306,0.0,0.0,False,True,True,587928.8,5686077.0,14199.753814788637,-7978.221392121748,11006.989498180823,True,False,False
69,FF01753E,True,True,8,6211,2000,-113.0,True,826,594607.5614263507,602051.1739170863,5670147.000863375,5678667.415371114,601551.1739170863,5678352.415371114,315.0,0.0,False,False,False,598286.3,5672726.9,6504.292804380072,2579.8991366252303,0.0,False,False,False
70,FF017649,True,True,16,945,945,-113.0,True,266,595932.4769141173,603756.3241078965,5670866.883719762,5679022.8837956935,603756.3241078965,5678962.8837956935,0.0,0.0,False,True,True,602522.4,5673395.8,5702.191744612208,1233.9241078965133,0.0,False,False,False
71,004A026B,True,True,33,58,58,-108.0,False,58,596081.7424667007,600633.879319907,5674001.07470968,5678486.680070968,598133.879319907,5674441.07470968,440.0,0.0,False,False,False,579736.5,5633188.3,45169.18182885503,-40812.77470968012,43964.18463702405,True,False,False
